original,translate
#Combat Tutorials,#战斗教程
Charging,冲锋
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,在攻击前沿直线移动至少2格，可使持有近战武器的角色发动冲锋攻击
Charge attacks significantly increase your likelihood to hit,冲锋攻击会显著提高你的命中几率
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,冲锋攻击会根据你在攻击前移动的距离，为你的命中率提供加成
The teal pips over the character indicate how much momentum is built up by the charge,角色上方的青绿色小标表示冲锋积累了多少动能
"The more momentum, the bigger the charge bonus",动能越多，冲锋加值越大
A successful charge will give the following text printing the bonus that was added to the character’s To-Hit roll,成功的冲锋会显示以下文本，打印出添加到角色命中掷骰的加值
Tactical View,战术视图
Pressing SHIFT in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,在战斗中按下SHIFT键会显示战术覆盖层，更容易看清角色的确切位置和底层网格
"In the settings menu, you can toggle the tactical overlay to be always on during the player’s turn",在设置菜单中，你可以切换战术覆盖层，使其在玩家回合期间始终开启
Holding LEFT TRIGGER in combat brings up the tactical overlay and makes it easier to see the exact positioning of characters and the underlying grid,在战斗中按住左扳机键会显示战术覆盖层，更容易看清角色的确切位置和底层网格
Conditions,状态
You have contracted a disease from your fight with the rats,你在与老鼠的战斗中感染了疾病
You may see what conditions are affecting you by opening the Character Sheet,你可以打开角色栏查看影响你的状态
Click your portraits or press ‘C’ to do so,点击你的肖像或按“C”键即可
Not all conditions are negative!,并非所有状态都是负面的！
Press the Y BUTTON to do so,按Y按钮即可
Negative conditions can often be cured by magic or rest,负面状态通常可以通过魔法或休息治愈
This disease can be cured by a potion,这种疾病可以用药水治愈
Pick up and equip the lantern to search the area!,拿起并装备提灯来搜索该区域！
Hint,提示
Some containers are hidden until your character “spots” them,有些容器是隐藏的，直到你的角色“发现”它们
Difficulty,难度
Warda is a dangerous place where you can quickly end up facing very dangerous beings,沃尔达是个危险的地方，你很快就会面对非常危险的生物
Sometimes the best tactic is to leave a fight for later as you level up and gather more equipment and allies,有时最好的策略是暂时避开战斗，等你升级并收集更多装备和同伴后再来
Remember that you can change the difficulty of the game at any time,请记住，你可以随时更改游戏难度
You can even create your own custom difficulty!,你甚至可以创建自己的自定义难度！
Play the game the way YOU want it!,按你想要的方式玩游戏！
Flanking,侧袭
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,如果对手占据了角色上方和下方的格子，或左右两侧的格子，该角色就会被侧袭
It is much easier to hit a Flanked character,命中被侧袭的角色要容易得多
A Rogue will automatically Backstab Flanked targets to deal massive amounts of damage,游荡者会自动对被侧袭的目标发动背刺，造成大量伤害
Here the main character has moved to the right of the mercenary,这里主角移动到了雇佣兵的右侧
And then Roland moves to the left of the mercenary who is now Flanked,然后罗兰移动到雇佣兵的左侧，现在雇佣兵被侧袭了
Note the red double-arrow icon that indicates when a character is Flanked,注意红色双箭头图标，它表示角色被侧袭
Initiative,先攻
"In combat, characters act in order of initiative",在战斗中，角色按先攻顺序行动
You can view the initiative order by using the Initiative Widget on the left side of the screen,你可以使用屏幕左侧的先攻栏查看先攻顺序
Moving the cursor over the widget makes it pop out,将光标移到该栏上会使其弹出
Note that moving the cursor over a name will make that character's outline flash on the battlefield,注意，将光标移到名字上会使该角色在战场上的轮廓闪烁
Injuries,伤势
Your character is critically injured!,你的角色受了重伤！
This means you have taken enough damage to reduce BOTH your Vitality and Wounds,这意味着你承受了足够的伤害，同时减少了你的体力和创伤
The green bar under your Character’s portrait represents your Vitality score,角色肖像下方的绿色条代表你的体力值
Vitality is a buffer to your wounds and as long as you have Vitality left you won’t take (serious,体力是你创伤的缓冲，只要还有体力，你就不会受到（严重的
Wound damage,创伤伤害
Vitality is easily lost and easily regained!,体力容易损失，也容易恢复！
Potions and healing magic restores Vitality - even during combat,药水和治疗魔法可以恢复体力——即使在战斗中也是如此
"The second, purple bar represents your Wounds",第二条紫色条代表你的创伤
Losing Wounds is much more serious than losing Vitality,损失创伤比损失体力严重得多
Reaching 0 wounds means your character falls unconscious,创伤降至0意味着你的角色会失去意识
Wounds can also only be recovered by resting (or leveling up,创伤也只能通过休息（或升级）来恢复
Try to avoid taking Wound damage at all costs!,不惜一切代价避免受到创伤伤害！
"Whenever you take Wound damage, you gain an Injury Condition as indicated by the icon on the portrait",每当你受到创伤伤害，你就会获得一个受伤状态，如肖像上的图标所示
Injuries confer serious penalties to your character and can only be removed by resting,伤势会给你的角色带来严重的惩罚，只能通过休息来移除
A party full of injured party members has its combat effectiveness severely reduced!,一支满是受伤成员的队伍，其战斗效能会严重降低！
Making camp and resting is the surest way to restore an injured character!,扎营休息是恢复受伤角色最可靠的方法！
Note that resting is not possible in every location so plan accordingly,注意，并非所有地点都能休息，因此要相应规划
You can also rest at inns when you find them,找到旅店时，你也可以在那里休息
Interactables,可互动对象
Moving the cursor over an interactable object will make a yellow outline appear,将光标移到可互动对象上会显示黄色轮廓
Left mouse-click to interact with the object,鼠标左键点击与对象互动
Right mouse-click to examine it,鼠标右键点击检查它
Use RIGHT TRIGGER to interact with and object and press LEFT TRIGGER to examine it,使用右扳机键与对象互动，按下左扳机键检查它
Holding down SHIFT will highlight all interactable objects in view,按住SHIFT键会高亮显示视野中的所有可互动对象
Some objects are hidden and won't be highlighted until they are spotted,有些对象是隐藏的，在被发现之前不会高亮显示
Holding down LEFT TRIGGER will highlight all interactable objects in view,按住左扳机键会高亮显示视野中的所有可互动对象
Inventory,背包
"If you've not already done so, you must equip a weapon",如果你还没有装备武器，你必须装备一把
Press 'E' to manage your equipment,按“E”键管理你的装备
Clicking an item selects and examines it,点击物品会选中并检查它
Select items using the cursor to examine and use it,使用光标选择物品以检查和使用它
Press the X BUTTON on the controller to manage your equipment,按下控制器上的X按钮管理你的装备
Double click on items to use them,双击物品以使用它们
For weapons and armor this means the item becomes equipped,对于武器和护甲，这意味着该物品会被装备
Equipped items are moved to the relevant equipment slot,已装备的物品会移动到相应的装备栏位
"Select an item and press the A BUTTON to ""use"" it",选择一个物品并按A按钮来“使用”它
Note that you can also press RIGHT TRIGGER with the cursor over a selected item to use it,注意，你也可以在光标悬停在选中的物品上时按下右扳机键来使用它
Movement Points,移动点数
The widget on the lower right side represents the character’s action points,右下方的部件代表角色的行动点数
The yellow pips represent Movement points,黄色小标代表移动点数
The violet pips represent Attacks,紫色小标代表攻击
You can move a number of tiles each combat equal to your Movement Points AND Attacks,每场战斗中你可以移动的格数等于你的移动点数加上攻击次数
But spending Attacks to move means you won't be able to attack that turn,但消耗攻击次数来移动意味着该回合你将无法攻击
This is a good way of moving extra far,这是移动更远距离的好方法
Performing an attack will clear out all remaining movement points,发动攻击会清空所有剩余的移动点数
"In other words, attacking will end the character’s turn in most cases",换句话说，在大多数情况下，攻击会结束角色的回合
New Character,新角色
You’ve added a new character to your party!,你为队伍添加了一名新角色！
"Press ""Q"" or the character portraits to swap the party leader",按“Q”键或点击角色肖像来切换队伍领袖
Press RIGHT BUMPER or the character portraits to swap the party leader,按右肩键或点击角色肖像来切换队伍领袖
The current leader’s Attributes are used for tests outside combat (such as for Awareness or Stealth,当前领袖的属性用于战斗外的检定（例如察觉或潜行）
