original,translate
#General,#通用
Quest Started,任务开始
Side Quest Started,支线任务开始
Sub-Quest Started,子任务开始
Quest Completed,任务完成
Side Quest Completed,支线任务完成
Sub-Quest Completed,子任务完成
Quest Failed,任务失败
Side Quest Failed,支线任务失败
Sub-Quest Failed,子任务失败
MAIN QUESTS,主线任务
SIDE QUESTS,支线任务
COMPLETED,已完成
FAILED,已失败
Success,成功
Failed,失败
Main quests that have not yet been completed,尚未完成的主线任务
Side-quests that have not yet been completed,尚未完成的支线任务
Quests that have been completed,已完成的任务
Quests that have failed,已失败的任务
#Main Quests,#主线任务
A Twilight Meeting,黄昏会面
I’ve been summoned to the estate of the lord Cato Berryn,我被传唤至卡托·贝林勋爵的庄园
My father’s old patron,我父亲的旧主
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn",尽管我在这里长大，但由于我父亲离开贝林家族时的不幸方式，我已经几十年没有回来了
I do not know why Cato summons me now and I must venture to find out,我不知道卡托为何现在召见我，我必须前去一探究竟
The lord Berryn has tasked me to find his daughter,贝林勋爵委托我寻找他的女儿
"My childhood friend, Embal",我儿时的朋友，恩布拉
Rescue Embla,营救恩布拉
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra",我父亲的旧主，卡托·贝林勋爵，委托我从伊德拉岛救出他的女儿
She was last seen in the city of Horryn and I must search for clues as to her fate,她最后一次出现是在霍林城，我必须寻找关于她命运的线索
I found Embla in the town of Horryn,我在霍林镇找到了恩布拉
Events have conspired however to make it impossible to return to the mainland,然而事态的发展使得返回大陆变得不可能
Instead we must venture to end the madness that has engulfed the region,相反，我们必须冒险去终结席卷这片地区的疯狂
This quest has failed,此任务已失败
Refugees of Horryn,霍林的难民
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp",总管马库斯，难民营的实际领导者，恳求我帮助营地
Food is running low and he’s requested I talk to Frantzo,食物短缺，他让我去找弗兰佐谈谈
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,营地还爆发了疾病，我应该找牧师德拉尔谈谈此事
Both can be found in the camp,两人都可以在营地找到
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,我已为营地尽我所能，难民们无疑获得了生存的机会
Mouths to Feed,嗷嗷待哺
