original,translate
#Magical Conditions,#魔法状态
Barkskinned,树皮术
Fortified Strength,强化力量
Blessed,祝福术
Blurred,朦胧术
Clarity of Mind,心智清明
Condemned,定罪
Diamondskinned,钻石皮肤
Fell Light,凶煞之光
The target emits a sinister glow,目标散发出不祥的光芒
Fortified Awareness,强化感知
Fortify Initiative,强化先攻
Fortified Will,强化意志
Heroic Inspiration,英勇鼓舞
Illuminated,光亮术
"The target glows softly, emitting lighting",目标柔和地发光，散发出光芒
Immunity,免疫
Acid,强酸
Electricity,闪电
Fire,火焰
Panic,恐慌
Lesser Invisibility,次级隐形
Invisible,隐形
Regeneration - Greater,再生 - 高等
Regeneration - Lesser,再生 - 次级
Acid Resistance,强酸抗性
Electric Resistance,闪电抗性
Fire Resistance,火焰抗性
Fortified Agility,强化敏捷
Slowed,减速术
Stoneskinned,石肤术
Thornclad,荆棘护甲
Weakened,虚弱术
#Natural Conditions,#自然状态
Negative Condition,负面状态
The conditions that currently affects this character,当前影响该角色的状态
Fearful,恐惧
Sleeping,睡眠
Bleeding,流血
Bleeding causes the character to lose 10% of their max Vitality at the start of each turn,流血导致角色在每个回合开始时失去10%最大体力
Lesser Blindness,次级目盲
Enthralled,魅惑
Confused,困惑
Deafened,耳聋
Moderately Diseased,中度疾病
Severly Diseased,重度疾病
Weakly Diseased,轻度疾病
Disrupted,扰乱
Exhausted,力竭
Immobilized,定身
Injured Arm,手臂受伤
Injured Head,头部受伤
Injured Leg,腿部受伤
Injured Torso,躯干受伤
Insane,癫狂
Intoxicated,醉酒
Nauseous,恶心
Panicked,恐慌
Paralyzed,麻痹
Moderate Poison,初级毒素
Strong Poison,高级毒素
Poison causes the character to lose 10% of their max Vitality at the start of each turn,毒素导致角色在每个回合开始时失去10%最大体力
Weak Poison,中级毒素
Mute,沉默
Stunned,眩晕
#Tactical Conditions,#战术状态
Defending,防御
Greater Frenzy,重度狂暴
Lesser Frenzy,轻度狂暴
Hamstrung,断筋
Greater Haste,高级加速
Lesser Haste,次级加速
Inspired,鼓舞
Marked,标记
Motivated,激励
Removes Conditions with Tag,移除带有标签的状态
