original,translate
#Blessing Effects,#Blessing Effects
Greater Restore Attunement,高级魔力恢复
Minor Restore Attunement,次级魔力恢复
Moderate Restore Attunement,中级魔力恢复
Sublime Restore Attunement,超然魔力恢复
Barkskin,树皮术
Bear's Strength,熊之力量
Bless,祝福
Blur,朦胧术
Clarity of Mind,心智清明
Cure Blindness,治愈目盲
Cure Charm,治愈魅惑
Cure Deafness,治愈耳聋
Cure Moderate Disease,治愈中级疾病
Cure Severe Disease,治愈重度疾病
Cure Weak Disease,治愈轻度疾病
Removes the Diseased Condition from the target,移除目标的染病状态
Cure Insanity,治愈错乱
Cure Paralysis,治愈麻痹
Cure Moderate Poison,治愈中级毒素
Cure Strong Poison,治愈高级毒素
Cure Weak Poison,治愈中级毒素
Cure Silenced,治愈沉默
Defend,防御
Diamond Form,钻石形态
Fortify Awareness,强化感知
Fortify Initiative,强化先攻
Fortify Will,强化意志
Frenzy,狂乱
Greater Haste,高级加速
Lesser Haste,次级加速
Greater Healing,高级治疗
Minor Healing,次级治疗
Minute Healing,微效治疗
Moderate Healing,中级治疗
Sublime Healing,超然治疗
Heroism,英勇
Hide,潜行
Illuminate,照明
Acid Immunity,强酸免疫
Electric Immunity,闪电免疫
Fire Immunity,火焰免疫
Panic Immunity,恐慌免疫
Inspire,激励
Invisibility Lesser,次级隐形
Recover,恢复
Greater Regeneration,高级再生
Lesser Regeneration,次级再生
Remove Fear,移除恐惧
Acid Resistance,强酸抗性
Electric Resistance,闪电抗性
Fire Resistance,火焰抗性
Serpent's Grace,蛇之优雅
Stoneskin,石肤术
Thornclad,荆棘护甲
#Curse Effects,#诅咒效果
Cause Confusion,造成困惑
Deafness,耳聋
Cause Fear,造成恐惧
Condemn,定罪
Disrupt,干扰
Immobilize,定身
Infect,感染
Greater Infect,重度感染
Lesser Infect,轻度感染
Infects the target with a disease,使目标感染疾病
Mark Target,标记目标
Paralyze,麻痹
Moderate Poisoning,中度中毒
Strong Poisoning,重度中毒
Weak Poisoning,轻度中毒
Purge Invisibility,驱散隐形
Silence,沉默
Slow,减速
Stun,击晕
Weaken,虚弱
#Damage Effects,#伤害效果
Cause Bleeding,造成流血
Cause Injury,造成伤害
Kneecap,断膝
Minor Acid Splash,次级酸液飞溅
Massive Kinetic Damage,高级动能伤害
Medium Kinetic Damage,中级动能伤害
Minor Magical Damage,次级法术伤害
Minor Sublime Damage,次级超然伤害
Fire Flash,火焰闪光
Hamstring,断筋
Minor Psychic Blast,次级心灵冲击
Minor Slam,次级猛击
Medium Slash,中型挥砍
Minor Slash,次级挥砍
#General Effects,#通用效果
Clear Magical Conditions,清除法术状态
Dispel Magic,解除魔法
Get Drunk,喝醉
Push Target,击退目标
