original,translate
#Lore,#学识
Adler's Helm,鹰盔堡
Adler's Helm is a mining town and the main settlement on Gradla,鹰盔堡是一座采矿小镇，也是格拉德拉岛上的主要据点
House Berryn,贝林家族
The House of Berryn is one of the richest and most influential houses in the North,贝林家族是北境最富有且极具影响力的家族之一
The current head is the lord Cato Berryn,现任家主是卡托·贝林勋爵
Erdahn,厄尔丹
The continent where the Gallian Empire rose,伽里安帝国兴起的大陆
The central portion of Erdahn is known as 'the Heartland',厄尔丹的中部地区被称为“心脏地带”
Eryll,埃里尔
A mid-sized island to the north of Idra,位于伊德拉岛北方的一座中型岛屿
The only settlement on Eryll is the village of Firgol,埃里尔岛上唯一的定居点是菲尔戈村
The Eternity Vale,永恒谷
The sacred valley containing the mausoleums of dead Emperors,安葬已故帝皇陵寝的圣谷
The site is a source of immense magical energy and as such it is fervently guarded and maintained by the Court of the Magi,此地是巨大魔法能量的源泉，因此由法师议会狂热地守卫和维护
Excubitor,禁卫军
Excubitors are the personal guard of the Emperors and the only humans to see them without their masks,禁卫军是帝皇的私人卫队，也是唯一能在不戴面具的情况下见到他们的人类
The name literally means “the ones out of bed” as it is said that they never sleep,其名称字面意思是“不眠之人”，因为据说他们从不睡觉
Firgol,菲尔戈
Firgol is a small village on the island of Eryll,菲尔戈是埃里尔岛上的一个小村庄
Firgol is known for its orchards,菲尔戈以其果园而闻名
Free-Lenders Guild,自由钱贷行会
A league of independent banks and financial institutions that have grown to prominence within the Empire in recent years,近年来在帝国内部崛起并声名鹊起的独立银行与金融机构联盟
Freythen,弗雷森
A group of separatists who are plotting for the eventual overthrow of Imperial power in the Freymark,一群密谋最终推翻弗雷马克帝国统治的分离主义者
Gallian the Great,大帝伽里安
Gallian,伽里安
Gallian the Great was the first Emperor and founder of the Empire more than three millennia ago,大帝伽里安是三千多年前的第一位皇帝，也是帝国的缔造者
Gallian’s origin and much of his life is shrouded in mystery and apocrypha but it is written he came from the south and brought the laws of men and magics to the savage warlords of the Heartlands,伽里安的出身及其生平大多笼罩在神秘与伪经之中，但据记载他来自南方，为人烟稀少的中心地带的野蛮军阀们带来了人法与魔法
It is also said that he was born of three women and at the end of his reign did not die but rather became one with the reticulum,还有传说他由三位女子所生，并在统治末期并未死去，而是与魔网融为一体
See Gallian’s Ascension,参见“伽里安升天”
The Gallian Empire,伽里安帝国
Gallian Empire,伽里安帝国
A large but waning empire founded nearly 3000 years ago by the mythical first Emperor,一个由神话般的首位皇帝在近三千年前建立的庞大但日渐衰落的帝国
Gallian’s Ascension,伽里安升天
"At the end of the reign of the first emperor, Gallian, he is said to have ascended and become one with the reticulum",首位皇帝伽里安统治末期，据说他升天并与魔网融为一体
"This was taken as a sign of not only his divinity, but the divinity and legitimacy of every Magos-Emperor since then",这不仅被视为他神性的标志，也被视为此后每一位魔法皇帝神性与合法性的象征
