original,translate
#Combatant acts,#战斗员行动
{PLAYER} acts,{PLAYER}行动
Kat acts,卡蒂行动
Roland acts,罗兰行动
Driina acts,德莉娜行动
Iben acts,伊本行动
Iago acts,伊阿戈行动
Embla acts,恩布拉行动
Giant Bat acts,巨蝙蝠行动
Giant Beetle acts,巨甲虫行动
Rhino Beetle acts,犀甲虫行动
Carrion Crawler acts,腐尸爬行者行动
Giant Centipede acts,巨蜈蚣行动
Fell Crab acts,凶煞蟹行动
Corpse Eater acts,食尸者行动
Giant Crab acts,巨螃蟹行动
Crab acts,螃蟹行动
Rot Crab acts,腐烂蟹行动
Spider Crab acts,蜘蛛蟹行动
Brood Guard acts,巢穴守卫行动
Father acts,【父亲】行动
Deep One Priestess acts,深潜者女祭司行动
Deep One Queen acts,深潜者女王行动
Deep One Warrior acts,深潜者战士行动
Devolved acts,退化体行动
Ghoul acts,食尸鬼行动
Frost Ghoul acts,寒霜食尸鬼行动
Giant Gnat acts,巨型蠓虫行动
Cave Gnat acts,洞穴蠓虫行动
Fell Hog acts,凶煞野猪行动
Dire Hound acts,凶暴野狗行动
Fell Hound acts,凶煞野狗行动
Ice Hound acts,冰原野狗行动
Ice Strider acts,冰上漫步者行动
Shadow Stalker acts,暗影猎手行动
Giant Leech acts,巨型水蛭行动
Albino Leech acts,白化水蛭行动
Bloodletter acts,放血者行动
Fell Lizard acts,凶煞蜥蜴行动
Alpha Lizard acts,阿尔法蜥蜴行动
Giant Lizard acts,巨蜥行动
Ice Salamander acts,冰火蜥蜴行动
Mold Child acts,霉菌幼体行动
Ooze acts,软泥怪行动
Flesh Ooze acts,血肉软泥怪行动
Medusa Jelly acts,美杜莎果冻行动
Risen Ooze acts,复生软泥怪行动
Magma Ooze acts,岩浆软泥怪行动
Magmite acts,岩浆怪行动
Large Ooze acts,大型软泥怪行动
Giant Rat acts,巨鼠行动
Dire Rat acts,凶暴鼠行动
Chitters-In-Darkness acts,暗影低语者行动
Rabid Rat acts,狂怒鼠行动
Shade acts,幽影行动
Dire Serpent acts,凶暴蛇行动
Fell Serpent acts,凶煞蛇行动
Giant Snake acts,巨蛇行动
Fleshstrider acts,血肉行者行动
Flying Polyp acts,飞行息肉行动
Dragon's Herald acts,龙使行动
Evolved acts,进化体行动
Newborne acts,新生儿行动
Vessel acts,容器行动
Stalker acts,猎手行动
Giant Spider acts,巨蜘蛛行动
Large Spider acts,大蜘蛛行动
Shambler acts,行尸行动
Frost Shambler acts,寒霜行尸行动
Reaver Berserker acts,劫掠者狂战士行动
Brigand Archer acts,强盗弓箭手行动
Brigand Rogue acts,强盗游荡者行动
Brigand Swordsman acts,强盗剑士行动
Mad Sailor acts,疯水手行动
Mad Sailo acts,疯水手行动
Guild Magos acts,公会法师行动
Guild Mag acts,公会法师行动
Wight acts,尸妖行动
Feral Clone acts,野性克隆体行动
Jester acts,弄臣行动
Reaver Brute acts,掠夺者蛮兵行动
Reaver Scout acts,劫掠者侦察兵行动
Reaver acts,劫掠者行动
Reaver Blackguard acts,劫掠者黑卫行动
Reaver Mystic acts,劫掠者秘术师行动
Cultist acts,邪教徒行动
Bobbert the Recruit acts,新兵博伯特行动
Wreck Picker acts,残骸拾荒者行动
Oleg the Gray acts,灰发奥列格行动
Red Kala acts,红卡菈行动
The Butcher acts,屠夫行动
Snow acts,斯诺行动
The Ancient King acts,古王行动
Joran the Usurper acts,篡位者约兰行动
Baroness acts,男爵夫人行动
Handmaid acts,侍女行动
Majordomo acts,大管家行动
#Combatant begun,#战斗者开始
{PLAYER} begun,{PLAYER}开始
Kat begun,卡蒂开始
Roland begun,罗兰开始
Driina begun,德莉娜开始
Iben begun,伊本开始
Iago begun,伊阿戈开始
Embla begun,恩布拉开始
Giant Bat begun,巨蝙蝠开始
Giant Beetle begun,巨甲虫开始
Rhino Beetle begun,犀甲虫开始
Carrion Crawler begun,腐尸爬行者开始
Giant Centipede begun,巨蜈蚣开始
Fell Crab begun,凶煞蟹开始
Corpse Eater begun,食尸者开始
Giant Crab begun,巨螃蟹开始
Crab begun,螃蟹开始
Rot Crab begun,腐烂蟹开始
Spider Crab begun,蜘蛛蟹开始
Brood Guard begun,巢穴守卫开始
Father begun,【父亲】开始
Deep One Priestess begun,深潜者女祭司开始
Deep One Queen begun,深潜者女王开始
Deep One Warrior begun,深潜者战士开始
Devolved begun,退化者开始
Ghoul begun,食尸鬼开始
Frost Ghoul begun,寒霜食尸鬼开始
Giant Gnat begun,巨型蠓虫开始
Cave Gnat begun,洞穴蠓虫开始
Fell Hog begun,凶煞野猪开始
Dire Hound begun,凶暴野狗开始
Fell Hound begun,凶煞野狗开始
Ice Hound begun,冰原野狗开始
Ice Strider begun,冰上漫步者开始
Shadow Stalker begun,暗影猎手开始
Giant Leech begun,巨型水蛭开始
Albino Leech begun,白化水蛭开始
Bloodletter begun,放血者开始
Fell Lizard begun,凶煞蜥蜴开始
Alpha Lizard begun,阿尔法蜥蜴开始
Giant Lizard begun,巨蜥开始
Ice Salamander begun,冰火蜥蜴开始
Mold Child begun,霉菌幼体开始
Ooze begun,软泥怪开始
Flesh Ooze begun,血肉软泥怪开始
Medusa Jelly begun,美杜莎果冻开始
Risen Ooze begun,复生软泥怪开始
Magma Ooze begun,岩浆软泥怪开始
Magmite begun,岩浆虫开始
Large Ooze begun,大型软泥怪开始
Giant Rat begun,巨鼠开始
Dire Rat begun,凶暴鼠开始
Chitters-In-Darkness begun,暗影低语者开始
Rabid Rat begun,狂怒鼠开始
Shade begun,颜色开始
Dire Serpent begun,凶暴蛇开始
Fell Serpent begun,凶煞蛇开始
Giant Snake begun,巨蛇开始
Fleshstrider begun,血肉行者开始
Flying Polyp begun,飞天水螅开始
Dragon's Herald begun,龙使开始
Evolved begun,进化体开始
Newborne begun,新生儿开始
Vessel begun,容器开始
Stalker begun,猎手开始
Giant Spider begun,巨蜘蛛开始
Large Spider begun,大蜘蛛开始
Shambler begun,行尸开始
Frost Shambler begun,寒霜行尸开始
Reaver Berserker begun,劫掠者狂战士开始
Brigand Archer begun,强盗弓箭手开始
Brigand Rogue begun,强盗游荡者开始
Brigand Swordsman begun,强盗剑士开始
Mad Sailor begun,疯水手开始
Mad Sailo begun,疯水手开始
Guild Magos begun,公会法师开始
Guild Mag begun,公会法师开始
Wight begun,尸妖开始
Feral Clone begun,野性克隆体开始
Jester begun,弄臣开始
Reaver Brute begun,掠夺者蛮兵开始
Reaver Scout begun,劫掠者侦察兵开始
Reaver begun,劫掠者开始
Reaver Blackguard begun,劫掠者黑卫开始
Reaver Mystic begun,劫掠者秘术师开始
Cultist begun,邪教徒开始
Bobbert the Recruit begun,新兵博伯特开始
Wreck Picker begun,残骸拾荒者开始
Oleg the Gray begun,灰发奥列格开始
Red Kala begun,红卡菈开始
The Butcher begun,屠夫开始
Snow begun,斯诺开始
The Ancient King begun,古王开始
Joran the Usurper begun,篡位者约兰开始
Baroness begun,男爵夫人开始
Handmaid begun,侍女开始
Majordomo begun,大管家开始
#Combatant defends,#战斗员防御
{PLAYER} Defends,{PLAYER} 防御
Kat Defends,卡蒂 防御
Roland Defends,罗兰 防御
Driina Defends,德莉娜 防御
Iben Defends,伊本 防御
Iago Defends,伊阿戈 防御
Embla Defends,恩布拉 防御
#Combatant Disengages,#战斗人员脱离
{PLAYER} Disengages,{PLAYER} 脱离
Kat Disengages,卡蒂 脱离
Roland Disengages,罗兰 脱离
Driina Disengages,德莉娜 脱离
Iben Disengages,伊本 脱离
Iago Disengages,伊阿戈 脱离
Embla Disengages,恩布拉 脱离
#Combatant does not have a valid target!,#战斗者没有有效目标！
{PLAYER} does not have a valid target!,{PLAYER}没有有效目标！
Kat does not have a valid target!,卡蒂没有有效目标！
Roland does not have a valid target!,罗兰没有有效目标！
Driina does not have a valid target!,德莉娜没有有效目标！
Iben does not have a valid target!,伊本没有有效目标！
Iago does not have a valid target!,伊阿戈没有有效目标！
Embla does not have a valid target!,恩布拉没有有效目标！
Giant Bat does not have a valid target!,巨蝙蝠没有有效目标！
Giant Beetle does not have a valid target!,巨甲虫没有有效目标！
Rhino Beetle does not have a valid target!,犀甲虫没有有效目标！
Carrion Crawler does not have a valid target!,腐尸爬行者没有有效目标！
Giant Centipede does not have a valid target!,巨蜈蚣没有有效目标！
Fell Crab does not have a valid target!,凶煞蟹没有有效目标！
Corpse Eater does not have a valid target!,食尸者没有有效目标！
Giant Crab does not have a valid target!,巨螃蟹没有有效目标！
Crab does not have a valid target!,螃蟹没有有效目标！
Rot Crab does not have a valid target!,腐烂蟹没有有效目标！
Spider Crab does not have a valid target!,蜘蛛蟹没有有效目标！
Brood Guard does not have a valid target!,巢穴守卫没有有效目标！
Father does not have a valid target!,【父亲】没有有效目标！
Deep One Priestess does not have a valid target!,深潜者女祭司没有有效目标！
Deep One Queen does not have a valid target!,深潜者女王没有有效目标！
Deep One Warrior does not have a valid target!,深潜者战士没有有效目标！
Devolved does not have a valid target!,退化者没有有效目标！
Ghoul does not have a valid target!,食尸鬼没有有效目标！
Frost Ghoul does not have a valid target!,寒霜食尸鬼没有有效目标！
Giant Gnat does not have a valid target!,巨型蠓虫没有有效目标！
Cave Gnat does not have a valid target!,洞穴蠓虫没有有效目标！
Fell Hog does not have a valid target!,凶煞野猪没有有效目标！
Dire Hound does not have a valid target!,凶暴野狗没有有效目标！
Fell Hound does not have a valid target!,凶煞野狗没有有效目标！
Ice Hound does not have a valid target!,冰原野狗没有有效目标！
Ice Strider does not have a valid target!,冰上漫步者没有有效目标！
Shadow Stalker does not have a valid target!,暗影猎手没有有效目标！
Giant Leech does not have a valid target!,巨型水蛭没有有效目标！
Albino Leech does not have a valid target!,白化水蛭没有有效目标！
Bloodletter does not have a valid target!,放血者没有有效目标！
Fell Lizard does not have a valid target!,凶煞蜥蜴没有有效目标！
Alpha Lizard does not have a valid target!,阿尔法蜥蜴没有有效目标！
Giant Lizard does not have a valid target!,巨蜥没有有效目标！
