original,translate
#Animals,#动物
Chicken,鸡
Dog,狗
The dog is roaming around restlessly,狗不安地四处游荡
Goat,山羊
#Common Humanoids,#常见人形生物
Commoner,平民
Guard,守卫
A guardsman dressed in the livery of the noble house Berryn scowls at you,一个穿着贝林家族制服的守卫对你怒目而视
Armsmaster Lyra awaits you at the main entrance,军械长莱拉在主入口等你
You best talk to her if you've not already done so,如果你还没和她谈过，最好去谈谈
Guest,客人
Scullion,帮厨
Good evening m'lord,晚上好，大人
Good evening m'lady,晚上好，女士
the red-faced scullion bows slightly,红脸的帮厨微微鞠躬
Servants,仆人们
Henchman,随从
Brigand Archer,强盗弓箭手
Brigand Rogue,强盗游荡者
Brigand Swordsman,强盗剑士
Child,孩子
Jester,弄臣
Farmer,农夫
Fruit-Picker,果农
Handmaid,侍女
Crewmember,船员
Refugee,难民
"A ragged, hungry refugee from Horryn",“一个来自霍林的衣衫褴褛、饥肠辘辘的难民”
Treasure Hunter,寻宝猎人
Fire-Spitter,喷火者
Mercenary,雇佣兵
"The mercenary looks at you, menacingly",“雇佣兵威胁地看着你”
Armorer,护甲匠
Arms Merchant,武器商人
Food Merchant,食品商人
Potion Merchant,药水商人
Reagent Merchant,药材商人
Spell Merchant,法术商人
Trinket Merchant,饰品商人
Pilgrim,朝圣者
Reaver Berserker,劫掠者狂战士
Reaver Brute,掠夺者蛮兵
Reaver Scout,劫掠者侦察兵
Reaver,劫掠者
Reaver Blackguard,劫掠者黑卫
Reaver Mystic,劫掠者秘术师
Cultist,邪教徒
Prisoner,囚犯
Wretch,可怜虫
Sailor,水手
Captain,船长
Mad Sailor,疯水手
Mad Sailo,疯水手
Guild Magos,公会法师
Guild Mag,公会法师
Wight,尸妖
Apprentice,学徒
Feral Clone,野性克隆体
FRUIT-PICKER,果农
#Monsters,#怪物
Giant Bat,巨蝙蝠
Giant Beetle,巨甲虫
Rhino Beetle,犀甲虫
Carrion Crawler,腐尸爬行者
Giant Centipede,巨蜈蚣
Fell Crab,凶煞蟹
Corpse Eater,食尸者
Giant Crab,巨螃蟹
Crab,螃蟹
Rot Crab,腐烂蟹
Spider Crab,蜘蛛蟹
Brood Guard,巢穴守卫
Father,【父亲】
Deep One Priestess,深潜者女祭司
Deep One Queen,深潜者女王
Deep One Warrior,深潜者战士
Devolved,退化者
Ghoul,食尸鬼
Frost Ghoul,寒霜食尸鬼
Giant Gnat,巨型蠓虫
Cave Gnat,洞穴蠓虫
Fell Hog,凶煞野猪
Dire Hound,凶暴野狗
Fell Hound,凶煞野狗
Ice Hound,冰原野狗
Ice Strider,冰上漫步者
Shadow Stalker,暗影猎手
Giant Leech,巨型水蛭
Albino Leech,白化水蛭
Bloodletter,放血者
Fell Lizard,凶煞蜥蜴
Alpha Lizard,阿尔法蜥蜴
Giant Lizard,巨蜥
Ice Salamander,冰火蜥蜴
Mold Child,霉菌幼体
Ooze,软泥怪
Flesh Ooze,血肉软泥怪
Medusa Jelly,美杜莎果冻
Risen Ooze,复生软泥怪
Magma Ooze,岩浆软泥怪
Magmite,岩浆虫
Large Ooze,大型软泥怪
Giant Rat,巨鼠
Dire Rat,凶暴鼠
Chitters-In-Darkness,暗影低语者
Rabid Rat,狂怒鼠
Shade,幽影
Dire Serpent,凶暴蛇
Fell Serpent,凶煞蛇
Giant Snake,巨蛇
Fleshstrider,血肉行者
Flying Polyp,飞行水螅体
Dragon's Herald,龙使
Evolved,进化者
Newborne,新生儿
Vessel,容器
Stalker,猎手
Giant Spider,巨蜘蛛
Large Spider,大蜘蛛
Shambler,行尸
Frost Shambler,寒霜行尸
#Unique Humanoids,#独特人形生物
Big Lorn,大洛恩
Arra the Trader,商人阿拉
Doran the Pilot,引航员多兰
Chef Armand,厨师阿曼德
Kydeon,凯迪恩
The scarred and graying veteran smiles varmly towards you,这位伤痕累累、头发花白的老兵向你温暖地微笑。
Calipero,卡利佩罗
Lyra,莱拉
Malachai,马拉凯
Driina,德莉娜
The imposing cleric turns to face you,这位威严的牧师转身面对你。
