original,translate
#Unknown,#未知
Select,选择
Abort,中止
Pick a Difficulty,选择难度
Character Creation,角色创建
Class,职业
Background,背景
Attributes,属性
Appearance,外观
Welcome to character creation!,欢迎来到角色创建！
Start by picking a DIFFICULTY for your playthrough,首先为你的游戏流程选择一个难度
Are you sure you want to abort?,你确定要中止吗？
Difficulty can be changed during play,难度可在游戏过程中更改
Bard,吟游诗人
Battlemagos,战斗法师
Champion,斗士
Hierophant,大祭司
Hospitaller,医护骑士
Officer,船员
Ranger,游侠
Thief,盗贼
Select a Class,选择职业
ARMSMASTER,武器大师
Archetype,原型
Warrior,战士
The Main Attribute for this Class is Strength,此职业的主要属性是力量
Start,开始
DP,发展点数
HP/Lvl,生命值/等级
Magic/Lvl,魔法/等级
May use any armor,可使用任意护甲
"May use all weapons of type Blade, Axe, Club and Bow",可使用所有刀剑、斧、棍棒和弓类武器
"Next, select a CLASS for your character!",接下来，为你的角色选择一个职业！
Classes define a character's role in the party by adding certain exclusive abilities,职业通过添加特定的专属能力来定义角色在队伍中的角色
DEVELOPMENT POINTS,发展点数
Development Points are gained when leveling up and used to buy ranks in Feats,发展点数在升级时获得，用于购买专长等级
This unlocks new Abilities for the Character making them more powerful,这会为角色解锁新能力，使其更加强大
MAIN ATTRIBUTE,主属性
The Main Attribute is the Attribute that is the most important for this Class,主属性是对该职业最重要的属性
STRENGTH,力量
Attribute - Primary,属性 - 主要
A measure of a character's brawn and physical power,衡量角色的肌肉力量与体能
ATTUNEMENT PER LEVEL,每级魔谐力
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up",表示角色每次升级时获得多少游戏魔法资源——魔谐力
VITALITY PER LEVEL,每级生命值
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up",表示角色每次升级时获得多少游戏生命值资源——体力
BARD,吟游诗人
Rogue,游荡者
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,吟游诗人将游荡者不俗的战斗技巧和高机动性与奥术魔法的使用相结合
The Main Attribute for this Class is Presence,此职业的主要属性是感知
May wear Light armor,可穿戴轻甲
"May use Light and Medium weapons of type Blade, Axe, Club and Bow",可使用轻型和中型的刀剑、斧、棍棒和弓类武器
ROGUE,游荡者
The Rogue combines important non-combat skills with a large damage output against single targets,游荡者结合了重要的非战斗技能与对单个目标的高额伤害输出
BATTLEMAGOS,战斗法师
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor",与其他法师不同，他们还能获得一些基本的战斗相关专长，并可穿戴轻甲
The Main Attribute for this Class is Intellect,此职业的主要属性是智力
"May use Light weapons of type Blade, Club and Bow",可使用轻型的刀剑、棍棒和弓类武器
CHAMPION,斗士
Cleric,牧师
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,斗士是擅长使用刀剑和护甲，同时仍拥有有限神圣施法能力的牧师
May use all weapons of type Blade and Club,可使用所有刀剑和棍棒类武器
GUILD-MAGOS,公会法师
This comes at the cost of having absolutely no combat related Feats,代价是完全没有战斗相关的专长
May not wear armor,不可穿戴护甲
HIEROPHANT,大祭司
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,大祭司是能够完全发展所有不同神圣法术学派的牧师
