original,translate
#Camping,#露营
Begin Rest,开始休息
Manage Party,管理队伍
Main Party,主力队伍
is now leading the party,现在领导队伍
Tonight's Meal,今晚的餐食
Party's Food,队伍的食物
Camp Followers,营地追随者
Click a party member to move them between your camp and your active party,点击队伍成员以在营地和活跃队伍之间移动他们
ACTIVITY,活动
Activities,活动
Entertain,娱乐
The character tries to lift their comrades' Spirits using their Diplomacy skill,角色尝试使用交涉技能提振同伴的士气
Success adds the Motivated Condition to all party-members,成功则为所有队伍成员添加激励状态
Forage,觅食
The character has a chance to find some extra food depending on their Survival skill,角色根据生存技能有机会找到一些额外的食物
The food found cannot be consumed until the next rest period,找到的食物要到下次休息时才能食用
Train,训练
The character attempts to instruct the party using their Lore skill,角色尝试使用学识技能指导队伍
Success gives a small XP reward,成功则获得少量经验值奖励
Fletch,制箭
The character has a chance to create a small number of Hunting Arrows depending on their Crafting skill,角色根据制作技能有机会制造少量猎箭
Camp activities begin,营地活动开始
{PLAYER} is too heavily wounded to work,{PLAYER}伤势过重无法工作
Kat is too heavily wounded to work,卡蒂伤势过重无法工作
Roland is too heavily wounded to work,罗兰伤势过重无法工作
Driina is too heavily wounded to work,德莉娜伤势过重无法工作
Iben is too heavily wounded to work,伊本伤势过重无法工作
Embla is too heavily wounded to work,恩布拉伤势过重无法工作
{PLAYER} must roll,{PLAYER}必须掷骰
Kat must roll,卡蒂必须掷骰
Roland must roll,罗兰必须掷骰
Driina must roll,德莉娜必须掷骰
Iben must roll,伊本必须掷骰
Iago must roll,伊阿戈必须掷骰
Embla must roll,恩布拉必须掷骰
Kat successfully entertained their companions!,卡蒂成功娱乐了同伴！
Roland successfully entertained their companions!,罗兰成功娱乐了同伴！
Driina successfully entertained their companions!,德莉娜成功娱乐了同伴！
Iben successfully entertained their companions!,伊本成功娱乐了同伴！
Embla successfully entertained their companions!,恩布拉成功娱乐了同伴！
{PLAYER} found,{PLAYER}找到了
Kat found,卡蒂找到了
Roland found,罗兰找到了
Driina found,德莉娜找到了
Iben found,伊本找到了
Embla found,恩布拉找到了
ration!,口粮！
Kat fletched,卡蒂制成了
Roland fletched,罗兰制成了
Driina fletched,德莉娜制成了
Iben fletched,伊本制成了
Embla fletched,恩布拉制成了
arrow!,箭！
arrows!,箭！
Z,Z
Z z,Z z
Z z Z,Z z Z
"The party was well-fed and rested 8 hours, recovering fully",队伍吃饱喝足并休息了8小时，完全恢复
The party rested 8 hours and recovered partially,队伍休息了8小时，部分恢复
You rest for 8 hours,你休息了8小时
"Taking a running start, you leap",你助跑后一跃而起
You make it and fall heavily into a roll as you land,你成功了，落地时重重地翻滚了一下
Fix Rope,固定绳索
You are swept off by the waterfall!,你被瀑布冲走了！
You use the shovel to dig in the ground a bit but you don't find anything!,你用铲子在地上挖了挖，但什么也没找到！
You use the shovel to dig in the ground a bit and you find somehing!,你用铲子在地上挖了挖，找到了一些东西！
Hire,雇佣
A mercenary is a blank character that you get to create from scratch and add to your party,雇佣兵是一个空白角色，你可以从头创建并加入队伍
This portcullis is closed,这个落栅门是关闭的
"Perhaps there is an opening mechanism nearby, inside the city",也许附近有开启机关，在城内
This is one of the entrances to the inn,这是旅店的入口之一
"The door, however, is barricaded from the inside and there is no way of opening it from where you’re currently standing",然而，门从里面堵住了，从你当前的位置无法打开
Perhaps there is another way in,也许有其他入口
Perhaps there is an opening mechanism nearby,也许附近有开启机关
The main portcullis gate has been opened,主落栅门已打开
Using the stack of boxes you can reach the rope and try to climb the wall,利用那堆箱子，你可以够到绳索并尝试爬墙
You scale the wall,你爬上了墙
"Using the rope, you can descend the wall",利用绳索，你可以从墙上下去
You manage to descend the wall,你成功从墙上下来了
The portcullis gate to the harbor has been opened,通往港口的落栅门已打开
You're Encumbered and cannot move!,你负重过高，无法移动！
A sudden draft catches your attention,一阵突如其来的气流引起了你的注意
It cuts across your path in a way that seems unnatural considering the architecture of the area,它横穿你的道路，考虑到此地的建筑结构，这显得很不自然
This gate must be the main exit from the keep,这扇门一定是城堡的主要出口
It’s currently locked with a key nowhere in sight,它目前锁着，钥匙不见踪影
This means you're carrying more weight than your current Strength score allows,这意味着你携带的重量超过了当前力量值允许的上限
You need to drop some items or find a way to raise your Strength,你需要丢弃一些物品，或者想办法提升力量
The party is encumbered and cannot move!,队伍负重过高，无法移动！
Do you wish to hire this mercenary for 300 gold,你希望以300金币雇佣这名雇佣兵吗
Do you wish to hire this mercenary for 400 gold,你希望以400金币雇佣这名雇佣兵吗
Do you wish to hire this mercenary for 500 gold,你希望以500金币雇佣这名雇佣兵吗
Do you wish to hire this mercenary for 1000 gold,你希望以1000金币雇佣这名雇佣兵吗
