original,translate
#Armor,#护甲
Heavy Armor Use,重型护甲专精
Reduced the encumberance of the armor when using this type of armor,使用此类护甲时降低护甲的负重惩罚
Light Armor Use,轻型护甲专精
Mage Armor Use,法师护甲专精
Medium Armor Use,中型护甲专精
Shield Use,盾牌专精
Added to Dodge when using a shield,使用盾牌时增加闪避
Unarmored Mastery,无甲精通
Added to Dodge when unarmored,无甲时增加闪避
#Combat Attributes,#战斗属性
Crit Chance,暴击几率
Describes the percentage of Hits that are upgraded to Critical Hits,描述命中升级为暴击的百分比
Melee Dmg,近战伤害
A bonus that is added to the melee damage range based on the characters strength,基于角色力量增加到近战伤害范围的加成
This is added to the current weapon's damage range for a total damage range,此加成会加到当前武器的伤害范围上以形成总伤害范围
Initiative,先攻
Initiative determines who goes first in combat,先攻决定战斗中谁先行动
Melee To Hit,近战命中
The character's skill at attacking with melee weapons,角色使用近战武器攻击的技能
Determines hit chance,决定命中几率
Ranged To Hit,远程命中
The characters skill at attacking with ranged weapons,角色使用远程武器攻击的技能
#ConditionResistances,#状态抗性
Blindness Resistance,目盲抗性
Resistance to a condition represents the percentage chance to avoid contracting the condition,状态抗性代表避免陷入该状态的百分比几率
An attribute value of 100% or above means immunity to the condition in question,属性值达到100%或以上意味着对该状态免疫
Charm Resistance,魅惑抗性
Confusion Resistance,困惑抗性
Crit,暴击
Hits Resistance,命中抗性
Deafness Resistance,耳聋抗性
Disease Resistance,疾病抗性
Immobilization Resistance,定身抗性
Insanity Resistance,错乱抗性
Panic Resistance,恐慌抗性
Paralysis Resistance,麻痹抗性
Poison Resistance,毒素抗性
Silence Resistance,沉默抗性
Sleep Resistance,睡眠抗性
#DamageBonuses,#伤害加成
Damage Bonus vs,伤害加成 vs
Abominations,畸形生物
Creature Damage bonuses increase the Damage dealt against certain types of creatures,生物伤害加成增加对特定类型生物造成的伤害
Animals,动物
Undead,不死生物
Vermin,虫群
Magic Damage Bonus,法术伤害加成
Damage bonuses increase the Damage dealt when using the indicated attack type,伤害加成增加使用指定攻击类型时造成的伤害
Melee Damage Bonus,近战伤害加成
Ranged Damage Bonus,远程伤害加成
Unarmed Damage Bonus,徒手伤害加成
Acid Damage Bonus,酸蚀伤害加成
Damage Type bonuses increase the Damage dealt when the Damage is of the indicated type,伤害类型加成增加当伤害为指定类型时造成的伤害
Blunt Damage Bonus,钝击伤害加成
Cold Damage Bonus,寒冷伤害加成
Corruption Damage Bonus,腐化伤害加成
Fire Damage Bonus,火焰伤害加成
Kinetic Damage Bonus,动能伤害加成
Piercing Damage Bonus,穿刺伤害加成
Slashing Damage Bonus,挥砍伤害加成
Sublime Damage Bonus,超然伤害加成
Axe Damage Bonus,斧类伤害加成
Weapon Damage bonuses increase the Damage dealt when using the indicated Weapon type,武器伤害加成增加使用指定武器类型时造成的伤害
Bow Damage Bonus,弓类伤害加成
Club Damage Bonus,棍棒伤害加成
Heavy Weapon Damage Bonus,重型武器伤害加成
Light Weapon Damage Bonus,轻型武器伤害加成
Medium Weapon Damage Bonus,中型武器伤害加成
Polearm Damage Bonus,长柄武器伤害加成
Sword Damage Bonus,剑伤害加成
#DamageResistances,#伤害抗性
Energy Damage Resistance,能量伤害抗性
Damage Resistance reduces incoming Damage of the indicated type by a percentage amount equal to the attribute value,伤害抗性会按照等同于属性值的百分比，减少所对应类型的伤害。
A value of 100% or higher means immunity to this damage type,数值达到或超过100%意味着对该伤害类型免疫。
A negative value means a vulnerability to the damage type,负值意味着对该伤害类型易伤。
"If this is the case, incoming Damage will be increased",在这种情况下，受到的伤害将会增加。
Magical Damage Resistance,法术伤害抗性
Non-Magical Damage Resistance,非法术伤害抗性
Physical Damage Resistance,物理伤害抗性
Acid Damage Resistance,酸蚀伤害抗性
Cold Damage Resistance,寒冷伤害抗性
Corruption Damage Resistance,腐化伤害抗性
Electric Damage Resistance,闪电伤害抗性
Fire Damage Resistance,火焰伤害抗性
Kinetic Damage Resistance,动能伤害抗性
Sublime Damage Resistance,超然伤害抗性
Blunt Damage Resistance,钝击伤害抗性
Piercing Damage Resistance,穿刺伤害抗性
Slashing Damage Resistance,挥砍伤害抗性
Psychic Damage Resistance,心灵伤害抗性
#Defences,#防御
Dodge,闪避
DODGE,闪避
The ability to avoid incoming attacks and other reflex-based dangers,避免即将到来的攻击和其他依赖反应的危险的能力
"In other words, this determines how hard a character is to hit",换句话说，这决定了角色被击中的难度
Toughness,坚韧
The character’s ability to withstand adverse physical effects such as disease and poison,角色承受疾病和毒素等不良物理效果的能力
Willpower,意志
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,意志描述了角色抵抗影响心智的状态（如法术效果）的能力
#HitBonuses,#命中加成
Bonus - Axes,加成 - 斧类武器
Critical bonuses increase your critical chance for the indicated weapon type,暴击加成提高指定武器类型的暴击几率
Bonus - Bows,加成 - 弓类武器
Bonus - Clubs,加成 - 棍棒类武器
Bonus Light,加成-轻型武器
This bonus applies to Light Weapons,此加成适用于轻型武器
Bonus - Blades,加成 - 刃类武器
Bonus - Unarmed,加成 - 徒手
Hit Bonus - Maneuvers,命中加成 - 战技
Maneuver Hit Bonuses are added to the To Hit roll when performing Combat Maneuvers,战技命中加成在执行战技时加入命中检定
Hit Bonus - Abominations,命中加成 - 畸形生物
Creature Hit Bonuses are added to the To Hit roll when attacking the indicated creature type,生物命中加成在攻击指定生物类型时加入命中检定
Hit Bonus - Animals,命中加成 - 动物
Hit Bonus - Undead,命中加成 - 不死生物
Hit Bonus - Vermin,命中加成 - 虫群
Hit Bonus - Axes,命中加成 - 斧类武器
Weapon Hit Bonuses are added to the To Hit roll when using weapons of the indicated type,武器命中加成在使用指定类型武器时加入命中检定
Hit Bonus - Bows,命中加成 - 弓类武器
Hit Bonus - Clubs,命中加成 - 棍棒类武器
Hit Bonus - Heavy Weap,命中加成 - 重型武器
Hit Bonus - Light Weap,命中加成 - 轻型武器
Hit Bonus - Medium Weap,命中加成 - 中型武器
Hit Bonus - Polearms,命中加成 - 长柄武器
Hit Bonus - Blades,命中加成 - 刃类武器
Hit Bonus - Unarmed,命中加成 - 徒手
#MagicAttributes,#法术属性
Magical Attributes,法术属性
MAGICAL ATTRIBUTES,法术属性
Attributes involved in spell-casting,与施法相关的属性
Attunement,魔谐力
Describes a character's magical energy and determines how many spells can be cast,描述角色的魔法能量并决定可施放的法术数量
Attunement refills fully when the character rests in a camp,角色在营地休息时魔谐力会完全恢复
Note that different classes use different root abilities for Attunement,注意不同职业使用不同的基础能力来计算魔谐力
Magical Aptitude,法术天赋
MAGICAL APTITUDE,法术天赋
The Magical Aptitude score is added to the numerical value of spells such as the amount of damage dealt or vitality healed,法术天赋值会加到法术的数值上，例如造成的伤害量或恢复的体力值
Max Cascade,最大连携施法数
MAX CASCADE,最大连携施法数
The maximum numbers of spells a spellcaster can cast in a single turn due to Cascade effects,施法者因连携效果在单个回合内最多可施放的法术数量
Magic Schools,法术学派
The Schools of Magic,法术学派
The value of this attribute indicates the maximum tier of spell from that school the character may cast,此属性值表示角色可从该学派施放的法术的最高等级
Aura Radius,光环半径
"If non-zero, this number is added to the radius of your spells with Aura-shaped area of effects",“若非零，此数值会加到具有光环形状效果范围的法术半径上”
Line Range,直线范围
"If non-zero, this number is added to the width and length of your spells with Line- and Cone-shaped areas of effects",“若非零，此数值会加到具有直线和锥形效果范围的法术的宽度和长度上”
Sphere Radius,球状半径
"If non-zero, this number is added to the radius of your spells with Sphere-shaped area of effects",“若非零，此数值会加到具有球状效果范围的法术半径上”
#MagicSchools,#魔法学派
Air Magic School,大气法术学派
The value of this attribute indicates the highest Spell Tier of Air magic spells you may cast,此属性值表示你可以施展的最高空气法术阶位的大气法术
Bardic Magic School,吟游法术学派
The value of this attribute indicates the highest Spell Tier of Bardic magic spells you may cast,此属性值表示你可以施展的最高吟游法术阶位的吟游法术
Body Magic School,肢体法术学派
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,此属性值表示你可以施展的最高肢体法术阶级的肢体法术
Earth Magic School,大地法术学派
The value of this attribute indicates the highest Spell Tier of Earth magic spells you may cast,此属性值表示你可以施展的最高大地法术阶位的大地法术
Fire Magic School,火焰法术学派
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,此属性值表示你可以施展的最高火焰法术阶位的火焰法术
Mind Magic School,心智法术学派
The value of this attribute indicates the highest Spell Tier of Mind magic spells you may cast,此属性值表示你可以施展的最高心智法术阶位的心智法术
Nature Magic School,自然法术学派
The value of this attribute indicates the highest Spell Tier of Nature magic spells you may cast,此属性值表示你可以施展的最高自然法术阶位的自然法术
Spirit Magic School,灵魂法术学派
The value of this attribute indicates the highest Spell Tier of Spirit magic spells you may cast,此属性值表示你可以施展的最高灵魂法术阶位的灵魂法术
#PrimaryAttributes,#主属性
Agility,敏捷
"A measure of hand-eye coordination, nimbleness and dexterity",衡量手眼协调能力、灵活性与灵巧度
Describes how tough and resilient a character is,描述角色的坚韧与恢复能力
Intellect,智力
"Mental acuity, recall and analytical skill",思维敏锐度、记忆力与分析能力
Presence,感知
A character's ability to read and react to the surrounding environment and people,角色观察周围环境与人物并作出反应的能力
Strength,力量
A measure of a character's brawn and physical power,衡量角色的肌肉力量与体能
#SecCombatAttributes,#次要战斗属性
Arrow Recovery,箭矢回收
The percentage chance that an arrow fired by the character in combat can be recovered and reused,角色在战斗中发射的箭矢可回收并再次使用的概率
Attack Count,攻击次数
The number of Attacks the character can potentially perform in a full round of combat,角色在完整回合中可进行的潜在攻击次数
"Typically a character cannot perform multiple Attacks if they also move, or perform move-equivalent actions the same turn",通常如果角色在同一回合移动或进行等同移动的动作，则不能进行多次攻击
Backstab Bonus,背刺加成
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage",如果成功执行背刺攻击，此属性将乘以武器的暴击倍率并加到总伤害上
Carrying Bonus,负重加值
A bonus in pounds added to the character’s Carrying Capacity,增加角色负重上限的磅数加值
Charge Bonus,冲锋加值
"If a character is charging, this bonus is added on top of the base charge bonus",如果角色正在冲锋，此加值将叠加在基础冲锋加值之上
