original,translate
#Abilities Tab,#能力标签
Maneuver Abilities,战技能力
Triggered Abilities,触发能力
Passive Bonus Abilities,被动加成能力
#Combat Manuevers,战斗招式
Wild Swing,狂野挥击
Critical Strike,致命一击
Defend Ally,掩护同伴
Mark Target,标记目标
The Target gets the Marked Condition which confers a -2 penalty to Dodge for the rest of the encounter,目标获得标记状态，使其在本次遭遇的剩余时间内闪避受到-2惩罚
Radiate Fear,恐惧辐射
Blizzard Aura,暴雪光环
Aura of Fire,火焰光环
Fire Lance,火枪
Howl of Terror,恐惧嚎叫
Lightning Lash,闪电鞭笞
Spit Acid,喷吐酸液
Spit Poison,喷吐毒液
Spray Acid,喷洒酸液
Attack!,攻击！
Forwards!,前进！
Regroup!,重整！
Stand Your Ground!,坚守阵地！
Precise Strike,精准打击
Rapid Shot,快速射击
The character makes a ranged attack,角色进行一次远程攻击
"If that attack is successful, they may make another, free attack",“如果该攻击成功，他们可以再进行一次免费攻击”
Pierce Armor,破甲
Vein Strike,血脉割裂
Savage Strike,凶蛮打击
Shake the Earth,撼地
Shield Rush,持盾冲锋
Perform an attack that pushes your opponent back one square if successfull,进行一次攻击，如果成功则将对手击退一格
Deals normal damage,造成普通伤害
Spellburn,法术灼烧
Storm of Steel,钢铁风暴
Stunning Blow,震慑打击
Thrust And Parry,刺击与格挡
Dash,猛冲
Hide in Combat,战斗中潜行
You gain the ability to hide whilst in Combat,你获得在战斗中潜行的能力
Attacking whilst hidden triggers the Backstab attack,在潜行状态下攻击会触发背刺攻击
Infect,感染
Ice Breath,寒冰吐息
Imperial Litany,帝国连祷
Hamstring,断筋
Second Wind,二次呼吸
Executes an Attack with +4 bonus to Damage,执行一次攻击，伤害获得+4加成
Executes an Attack that automatically scores a Critical Hit if successful,执行一次攻击，如果成功则自动造成暴击
#Passive Abilitiy,#被动能力
Backstabber,背刺者
Allows the character to perform Backstab Attacks against voulnerable targets,允许角色对脆弱目标进行背刺攻击
Evasive,灵巧
Disengaging from Melee does not cause your turn to end,脱离近战不会导致你的回合结束
Fancy Footwork,华丽步法
Swapping Places with allies not longer causes your Turn to end,与同伴交换位置不再导致你的回合结束
Activate Spellcasting,激活施法
Allows the character to begin studying schools of spellcasting,允许角色开始学习施法学派
