original,translate
#Accessories,#饰品
Armored Boots,护甲靴
Masterwork Armored Boots,精工护甲靴
Noble's Boots,贵族靴
Masterwork Noble's Boots,精工贵族靴
Leather Boots,皮靴
Masterwork Leather Boots,精工皮靴
Travelers Boots,旅者靴
Masterwork Travelers Boots,精工旅者靴
The Farstriders,远行者之靴
These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude,这双传奇靴子使穿戴者的负重上限增加30磅，并为其体质提供+1加成
The Tyrant,暴君
This helmet increases the user’s Awareness and Spell Aptitude by +1,这顶头盔使用者的察觉和法术资质+1
Armored Gauntlets,护甲手套
Masterwork Armored Gauntlets,精工护甲手套
Noble's Gloves,贵族手套
Masterwork Noble's Gloves,精工贵族手套
Leather Gloves,皮手套
Masterwork Leather Gloves,精工皮手套
Mailed Gauntlets,锁甲手套
Masterwork Mailed Gauntlets,精工锁甲手套
Travelers Gloves,旅者手套
Masterwork Travelers Gloves,精工旅者手套
Headwear,帽子
Hat,帽子
Bonnet,软帽
Leather Coif,皮头巾
Rag,破布
Hood,兜帽
Antlers,鹿角
Reaver Crown,劫掠者王冠
"A wide-brimmed, felt hat",一顶宽檐毡帽
It is quite stylish but offers little protection,它非常时尚，但提供的保护很少
Wreath,花环
Mail Coif,锁甲头巾
Coif and Helmet,头巾与头盔
Masterwork Mail Coif,精工锁甲头巾
Full Helmet,全盔
Masterwork Full Helmet,精工全盔
Horned Helmet,角盔
Masterwork Horned Helmet,精工角盔
Steel Helmet,钢盔
Masterwork Steel Helmet,精工钢盔
Plumed Helmet,羽盔
Masterwork Plumed Helmet,精工羽盔
Tower Helmet,塔盔
Soldier's Helmet,士兵头盔
Officer's Helmet,军官头盔
Jester's Cap,弄臣帽
#Accessories Jewelry,#饰品 珠宝
Amulet of Perfect Health,无暇健康护符
Grants the wearer immunity to Disease,赋予佩戴者疾病免疫
The Lunar Ring,月之戒
The Lunar Ring increases the radius of Aura spells by,月之戒增加光环法术的半径
Skull Necklace,颅骨项链
An exquisitely crafted necklace that could be quite valuable,一条制作精美的项链，可能价值不菲
Diamond Necklace,钻石项链
Firegold Necklace,火金项链
Coral Necklace,珊瑚项链
Pagan Necklace,异教项链
Beryl Necklace,绿柱石项链
Garnet Necklace,石榴石项链
Profane Necklace,渎神项链
Arcane Necklace,奥术项链
Ancient Necklace,古代项链
Brass Necklace,黄铜项链
A necklace that can be sold for a few coins,一条可以卖几个硬币的项链
Opal Necklace,欧泊项链
A necklace that will fetch a nice price,一条能卖个好价钱的项链
Silver Necklace,银项链
Gold Necklace,金项链
Copper Necklace,铜项链
Copper Locket,铜吊坠
Jade Necklace,翡翠项链
Ruby Necklace,红宝石项链
Ancient Gold Necklace,古代金项链
Ancient Jade Necklace,古代翡翠项链
The Guarded Heart,守护之心
A beautifully crafted golden ring with a heart carved into it,一枚制作精美的金戒指，上面雕刻着一颗心
The wearer of this ring will find their resolve strengthened,佩戴此戒指者将发现自己的决心得到增强
Adds +1 to Will,意志+1
Skull Ring,颅骨戒指
An exquisitely crafted ring that could be quite valuable,一枚制作精美的戒指，可能价值不菲
Topaz Ring,黄玉戒指
Lapis Ring,青金石戒指
Frater's Ring,弗拉特之戒
Sepulchite's Ring,墓祀教团之戒
Flowgold Ring,流金戒指
Wavestrider Ring,踏浪者之戒
Tempest Ring,风暴之戒
Lupercal Ring,卢佩卡尔戒指
Arboreal Ring,林木戒指
Primordial Ring,原初之戒
Ruby Ring,红宝石戒指
Genesis Ring,创世之戒
Fire Opal Ring,火欧泊戒指
Emerald Ring,翡翠戒指
Amethyst Ring,紫水晶戒指
Serpent Ring,蛇形戒指
Aquamarine Ring,海蓝宝石戒指
Sunstone Ring,日长石戒指
Green Sapphire Ring,绿宝石戒指
Brass Ring,黄铜戒指
"A modest, but well crafted ring",一枚朴素但做工精良的戒指
Silver Ring,银戒指
Gold Ring,金戒指
"A modest, but well crafted golden ring",一枚朴素但做工精良的金戒指
#Accessories - Types,#饰品 - 类型
Footwear,鞋靴
Glove,手套
Headwear,帽子
Necklace,项链
Ring,戒指
#Accessory,#饰品
Armored Boots,护甲靴
Masterwork Armored Boots,精工护甲靴
Noble's Boots,贵族靴
Masterwork Noble's Boots,精工贵族靴
Leather Boots,皮靴
Masterwork Leather Boots,精工皮靴
Travelers Boots,旅者靴
Masterwork Travelers Boots,精工旅者靴
The Farstriders,远行者之靴
These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude,这双传奇靴子使穿戴者的负重上限增加30磅，并为其体质提供+1加成，
The Tyrant,暴君
This helmet increases the user’s Awareness and Spell Aptitude by +1,这顶头盔使使用者的察觉和法术资质各+1，
Armored Gauntlets,护甲手套
Masterwork Armored Gauntlets,精工护甲手套
Noble's Gloves,贵族手套
Masterwork Noble's Gloves,精工贵族手套
Leather Gloves,皮手套
Masterwork Leather Gloves,精工皮手套
Mailed Gauntlets,锁甲手套
Masterwork Mailed Gauntlets,精工锁甲手套
Travelers Gloves,旅者手套
Masterwork Travelers Gloves,精工旅者手套
Headwear,帽子
Hat,帽子
Bonnet,软帽
Leather Coif,皮头巾
Rag,破布
Hood,兜帽
Antlers,鹿角
Reaver Crown,劫掠者王冠
"A wide-brimmed, felt hat","""一顶宽檐毡帽"""
It is quite stylish but offers little protection,它相当时髦，但提供的保护微乎其微，
Wreath,花环
Mail Coif,锁甲头巾
Coif and Helmet,头巾与头盔
Masterwork Mail Coif,精工锁甲头巾
Full Helmet,全盔
Masterwork Full Helmet,精工全盔
Horned Helmet,角盔
Masterwork Horned Helmet,精工角盔
Steel Helmet,钢盔
Masterwork Steel Helmet,精工钢盔
Plumed Helmet,羽盔
Masterwork Plumed Helmet,精工羽盔
Round Helmet,圆盔
Soldier's Helmet,士兵头盔
Officer's Helmet,军官头盔
Jester's Cap,弄臣帽
#Adventuring - Books,#冒险 - 书籍
Astronomer's Journal,天文学家的日志
"A small, well-used journal",一本破旧的小日志
The journal contains a large amount of tabulated data that appears to be astrological in nature interspersed with notes,这本日志包含了大量似乎是占星性质的表格数据，其间穿插着笔记
The final entries appear to have been made only days before your arrival,最后的几篇日志似乎是在你到达前几天才写下的
Observed strange dancing lights in the sky,观察到天空中奇异的舞动光芒
Not unlike those sailors to the far south describe near polar regions yet somehow different,与那些远南海员描述的极地附近的光芒并非完全不同，但又有某种不同
Colors indescribable - Mesmerizing,颜色难以形容——令人着迷
For a fleeting moment I even thought I heard a sound,在那一瞬间，我甚至以为我听到了一个声音
Somewhere between a deep wail and singing,介于深沉的哀嚎与歌唱之间
Could not perform observations tonight,今晚无法进行观测
Charts or instruments are off and I cannot make sense of the sky,星图或仪器出了问题，我无法理解天空
There are bodies there,那里有天体
Bodies that are alien to me,对我来说陌生的天体
It must be some form of comet storm or some other extraordinary astronomical event that has not been predicted in the Imperial Charts,这一定是某种彗星风暴或其他未被帝国星图预测到的异常天文事件
They are wrong!,它们错了！
I have done the calculations over and over and I come to the same conclusion,我一遍又一遍地计算，得出的结论都一样
The stars are wrong - in so many ways!,星辰错了——在很多方面都错了！
"As I observed an alien cluster in the southeastern quadrant, it dawned on me with absolute certainty",当我观测东南象限的一个陌生星团时，我绝对确定地意识到
I am not watching them - they are watching me,不是我在观测它们——而是它们在注视我
I dread to look again yet I feel compelled to do so,我害怕再次仰望，却又感到非看不可
They beckon me,它们在召唤我
I am certain that if I look again into that dreadful cluster in the southeastern quadrant I shall be undone,我确信，如果我再次望向东南象限那个可怕的星团，我必将崩溃
Yet there are answers there,然而那里有答案
Deeper and more profound than any mortal mind can comprehend,比任何凡人的心智所能理解的都更深刻、更深远
I believe I shall look again,我想我会再次仰望
I must,我必须这么做
Origins of the Legionnaire’s Rest,《归战花的起源》
"A small, generic book of lore",一本薄薄的、普通的学识书籍
Fawlon’s Treatise on the Origins of Imperial Fauna Excerpt,《帝国动物起源》节选，法隆著
Legionnaire’s Rest,归战花
Colours indescribable - Mesmerising,颜色难以形容——令人着迷
"It was a time of great sorrow, but from this calamity, new life blossomed",那是一个巨大悲痛的时期，但正是从这场灾难中，新的生命绽放了
For from the soil beneath which the lost legions lay an abundance of crimson red flowers sprouted forth,因为在那些失落军团安息的土壤之下，大量深红色的花朵破土而出
"Flowers that, it is said, will only grow upon the graves of those fallen in battle",据说，这种花只会在那些战死沙场之人的坟墓上生长
Folk Poetry of the North,北方民谣
Volume,卷
THE RIVEMAN'S RHYME,河上人歌谣
"To the river I will go,",我将去往河边，
"To soothe a heart that’s full of woe,",去抚慰一颗充满悲伤的心，
For in the water’s cool embrace,因为在河水的清凉怀抱中
My true self I will face,我将面对真实的自我
FOLK LITANY OF THE DEAD,民间亡者祷文
"Bathe the flesh,",洗净肉身，
Mend the bone,接好断骨
"Then lay the body,",然后安放遗体，
Beneath the stone,于石碑之下
AN ODE TO THE POTATO,土豆颂
"Oh, how blessed we’ll be,",哦，我们将多么有福，
"To taste your earthy bliss,",品尝你那泥土的福泽，
When we have sown our fields,当我们播下田地
And planted your seeds,种下你的种子
And awaited rain’s gentle kiss,并等待雨水的轻柔之吻
Postscript,附言
"For context and comaprison, I have taken the opportunity of adding the transcript of a fruit farmer's tirade to the local magistrate on the issue of the potatoe-related agricultural reforms",为了提供背景和对比，我借此机会附上了一位果农就土豆相关农业改革问题向地方法官发出的长篇怒骂的抄本
If I receive one more decree commanding me to re-sow my fruit orchards into bloody potato fields!,要是我再收到一道命令，让我把我的果园改种成该死的土豆田！
I’m going to send him a bag full of my ripest manure!,我就送他一袋我这儿最熟的粪肥！
"Bloody Magi, making a mess of the world and leaving it to us lot to clean it up!",该死的法师，把世界搞得一团糟，然后丢给我们这帮人来收拾！
Not on my farm!,别想在我的农场上搞！
They can shove their bloody seed-potatoes up their sacred arses for all I bleeding care!,他们可以把他们那该死的种薯塞进他们神圣的屁股里，我才他妈的不管呢！
Origins of the Sorroweater,《悲噬花的起源》
Sorrow-Eater,悲噬花
"In the year of 641 GA, after the lay-Countess of Vaul lost her firstborn to dry lung, it is rumored that she locked herself up in her chambers to wallow in her grief",在升天纪641年，瓦乌尔的世俗女爵因干肺病失去了她的第一个孩子后，据传她将自己锁在房间里，沉溺于悲痛之中
"One of the lay-Countess's most important offices was as head of the High Forum, and thus, fearing her absence would cause much unrest amongst nobility, the countess’ majordomo sought help from a wise old crone",这位世俗女爵最重要的职责之一是担任大议会的首脑，因此，担心她的缺席会在贵族中引起巨大动荡，女爵的大管家向一位睿智的老妇寻求帮助
"After hearing her plea, the crone handed the countess’ majordomo a single, violet coloured flower",听了她的请求后，老妇递给女爵的大管家一朵紫色的花
"Place this beside her bed, and to it all her sorrow shall be fed",将此花放在她床边，她所有的悲伤都将被它吞噬
"Desperate, the countess’ majordomo did as the crone advised, and less than a tide later, the lay-Countess of Vaul left her chambers for the first time since the loss of her child",绝望之下，女爵的大管家照老妇的建议做了，不到一个潮汐之后，瓦乌尔的世俗女爵自失去孩子以来第一次离开了她的房间
"The tale was quickly passed between courtiers, and ever since, the fauna - aptly named ‘Sorroweater’ - has been given as a gift in times of great sorrow",这个故事很快在朝臣之间流传开来，从那时起，这种被恰当地命名为‘悲噬花’的植物，便成为了在巨大悲痛时刻赠送的礼物
The High Forum of 641 was indeed a great success,641年的大议会确实取得了巨大的成功
"As so often when the lay-nobility conveens, much was discussed, little was decided and nothing was accomplished save gluttony, fornication and a stabbing or two",正如世俗贵族集会时常有的情况，讨论了很多，决定得很少，除了暴食、淫乱和一两次捅人事件外，一事无成
Origins of the Starspawn,《星泪花的起源》
Starspawn,星泪花
"Despite its beautiful appearance, the legend on the origin of the Starflower is a grim one",尽管外表美丽，但关于星裔花起源的传说却是一个残酷的故事
"Many centuries ago, before Gallina came from the south, a fatally wounded warrior lay dying",许多世纪以前，在伽里安从南方到来之前，一个受了致命伤的战士奄奄一息地躺着
He pleaded to the Gods for help just as a shooting star passed through the sky,正当一颗流星划过天际时，他向众神祈求帮助
"Hearing his cries and taking pity on the young man, the star descended to earth to answer his prayers",听到了他的哭喊，并对这个年轻人起了怜悯之心，那颗星星降临到凡间来回应他的祈祷
For such was her nature,因为这就是她的本性
"At first the soldier was grateful, but he became smitten by her beauty and soon grew lustful",起初，士兵很感激，但他被她的美貌迷住，很快就变得充满欲望
Then possessive and finally cruel towards the stellar being,然后是占有欲，最后对这位星辰存在变得残忍
For such was his nature,因为这就是他的本性
"She refused him, claiming that stars belong to all who love them and the soldier went mad with rage",她拒绝了他，声称星星属于所有爱它们的人，士兵因愤怒而发狂
