original,translate
#Steam Achivements,#Steam成就
All is Darkness,万物皆暗
You’ve finished the game!,你完成了游戏！
A Deeper Dark,更深层的黑暗
You’ve completed the lighthouse-keeper’s quest,你完成了灯塔看守人的任务
The Liberator of Horryn,霍林的解放者
You’ve liberated the beleaguered town of Horryn,你解放了被围困的霍林镇
Patricide,弑父
You’ve slain the foul leader of the Reavers on Idra,你杀死了伊德拉岛上劫掠者的邪恶首领
Pilgrimage,朝圣
Puppeteer,提线人
You managed to defeat the Reaver chieftains using wits rather than brawn,你凭借智谋而非蛮力击败了劫掠者酋长们
A Light in the Darkness,黑暗中的一束光
You managed to help the wretched refugees of Horryn,你设法帮助了霍林可怜的难民们
Gradla,格拉德拉
You’ve sailed north to Gradla to uncover the secrets that may be found on the island's plateau,你向北航行至格拉德拉，探寻岛上高原可能隐藏的秘密
Shores of Idra,伊德拉海岸
You've made it to the bleak shores of the Isle of Idra,你抵达了伊德拉岛荒凉的海岸
Such Wonders,如此奇观
The Eternity Gate,永恒之门
The Black Priory reveals its secrets to you,黑修院向你揭示了它的秘密
The Priory Opens,修道院开启
You stand at the threshold of the Black Priory,你站在黑修院的门槛前
The Queen is Dead,女王已死
Tower of Ash,灰烬之塔
Chitters-In-Darkness,暗影低语者
Achievement Unlocked,成就已解锁
