original,translate
#Chapter 0,#章节 0
Man Over Board,人员落水
Roland fell overboard,罗兰落水
An Old Boar,老野猪
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate",我在贝林庄园遇到了我父亲的一位老朋友，凯迪恩
It was good to see the old boar again,再次见到老野猪真好
Waking up,醒来
I woke up in the hold of the Zephyr to find something is wrong on the ship,我在西风号的货舱中醒来，发现船上有些不对劲
#Chapter 1,#章节 1
A Foul Cave,污秽洞窟
I discovered a cave near the spot where I landed on Idra,我在伊德拉岛登陆点附近发现了一个洞窟
A foul stench of rotting flesh and seaweed lies thick inside,洞内弥漫着腐肉和海藻的恶臭
Driina the Sepulchite,葬仪修会的德莉娜
I was joined by a Sepulchite cleric by the name Driina,一位名叫德莉娜的葬仪修会牧师加入了我
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,她打算寻找进入霍林城的途径，那里显然已被邪教徒占领
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader",在我们离开营地之前，她坚持要我们去见营地的实际领导者
Someone named Markus who is holed up in a stable nearby,一个名叫马库斯的人，他躲在附近的马厩里
A Floating Corpse,一具浮尸
I found a lost soul in the underwater cave system under the lighthouse,我在灯塔下方的水下洞窟系统中发现了一个迷失的灵魂
The poor wretch must have gotten lost in the darkness and drowned,这个可怜的家伙一定是在黑暗中迷路溺水而亡
I must take care I do not share his fate,我必须小心，不要落得和他一样的下场
There was a key on the corpse,尸体上有一把钥匙
Embla in Horryn,霍林的恩布拉
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,前旅店老板弗兰佐刚刚告诉我，在霍林城被灾难吞没的前几天，恩布拉曾住在他的旅店里
The Gates are Sealed,城门已封
I searched for a way into Horryn but had little luck,我寻找进入霍林的方法，但运气不佳
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself",目前看来，我不得不在这个荒芜的岛上另谋生路，直到机会出现
"Till then, the island no doubt overflows with desperate wretches in need of assistance",在那之前，岛上无疑到处都是急需帮助的绝望可怜人
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight",在那之前，德莉娜建议我们必须返回难民营，尽我们所能帮助他们摆脱绝望的困境
A Ritual Dagger,一把仪式匕首
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,我从伊德拉灯塔下方的水下洞窟中找到了一把年代不明的奇特匕首
