original,translate
#Archetype Classes,#原型职业
Cleric,牧师
The Cleric offers close-range support to their party through close ranged buffs and restorative spells,牧师通过近距离增益和恢复法术为队伍提供近距离支援
Magos,法师
"The Magos is a ranged strikers that can cast powerful, and often destructive, spells","""法师是远程打击者，能够施放强大且通常具有破坏性的法术"""
Rogue,游荡者
The Rogue combines important non-combat skills with a large damage output against single targets,游荡者将重要的非战斗技能与对单个目标的高伤害输出相结合
Wanderer,漂泊者
Warrior,战士
A Warrior is a front-line fighter who can take and deal large amounts of damage,战士是前线斗士，能够承受并造成大量伤害
#Classes,#职业
Armsmaster,武器大师
The Armsmaster is a Warrior that does not have a specialized Feat Tree,武器大师是一名没有专精专长树的战士
Instead the Armsmaster has access to all the combat-centered Feat Trees and they start with extra Development Points to represent their martial expertise,相反，武器大师可以使用所有以战斗为中心的专长树，并且他们起始拥有额外的发展点数，以体现其武艺专精
Bard,吟游诗人
The Bard mixes the Rogue’s decent combat skills and high maneuverability with the use of arcane magic,吟游诗人将游荡者不俗的战斗技能和高机动性与奥术魔法的使用相结合
Battlemagos,战斗法师
The Battlemagos is a Magos specializing in the destructive spells of the Fire Magic School,战斗法师是专精于火焰法术学派毁灭性法术的法师
"Unlike other Magi, they also get access to a few basic combat-related Feats and may wear light armor",“与其他法师不同，他们还能获得一些基础战斗相关专长，并且可以穿戴轻甲。”
Berserker,狂战士
Champion,斗士
The Champion is a Cleric who excels in the use of blades and armor whilst still having limited divine spell-casting abilities,斗士是一名擅长使用刃类武器和护甲，同时仍拥有有限神圣法术施放能力的牧师
Duelist,决斗者
Guild-Magos,公会法师
A Guild-Magos is a spellcaster who can develop all the different Arcane Spell Schools fully,公会法师是一名能够完全发展所有不同奥术法术学派的施法者
This comes at the cost of having absolutely no combat related Feats,代价是完全没有战斗相关专长
Hierophant,大祭司
A Hierophant is a Cleric who can develop all the different Divine Spell Schools fully,大祭司是一名能够完全发展所有不同神圣法术学派的牧师
Hospitaller,医护骑士
The Hospitaller is a Cleric who serves as a front line healer,医护骑士是一名在前线担任治疗者的牧师
"Well armed and armored, they can stand their ground against overwhelming foes whilst also getting access to the highest tiers of the Body Magic School",“他们武装精良，护甲坚固，能够在面对压倒性敌人时坚守阵地，同时还能掌握肢体法术学派的最高等级法术。”
Inquisitor,审判官
Officer,船员
The Officer is a skilled warrior who serves as a force multiplier through their tactical skills,船员是一名通过战术技能发挥力量倍增器作用的熟练战士
"Issuing orders across the battlefield, they vastly improve the performance of their fellow party-members",“在战场上发号施令，他们能极大提升队友的表现。”
Ranger,游侠
The Ranger is a Warrior specializing in ranged combat and with access to limited nature magic,游侠是专精于远程战斗并能够使用有限自然魔法的战士
Skald,Skald
Sorcerer,术士
Thief,盗贼
The Thief is a Rogue who uses Stealth to set up devestating Backstab attacks,盗贼是一名利用潜行来发动毁灭性背刺攻击的游荡者
#NPC Classes,#NPC 职业
Archer,弓箭手
Beast,野兽
Agile Beast,敏捷野兽
Savage Beast,凶暴野兽
Common Beast,普通野兽
Lesser Vermin,次级害虫
Tough Beast,坚韧野兽
Vermin,虫群
Resolute Beast,坚毅野兽
Bravo,暴徒
Brute,粗人
"Magi are ranged strikers that can cast powerful, destructive ranged spells",法师是远程打击者，能够施放强大的、破坏性的远程法术
Commoner,平民
Laborer,劳工
Noble,贵族
Tough Warrior,坚韧战士
Fighter,战士
Wretch,可怜虫
