original,translate
#Apperances,#外观
Carylla,卡莉拉
#Difficulties,#难度
Narrative,叙事
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,叙事模式是为那些希望以最少关注战斗和刷怪来体验游戏故事与设定的玩家准备的难度
Easy,简单
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,简单模式是让不熟悉此类角色扮演游戏的玩家体验Skald的绝佳方式
Combat is forgiving and there should be little need to optimize character builds,战斗较为宽容，几乎不需要优化角色构建
Dice rolls are weighted in the player’s favor,骰子掷出结果偏向玩家
Normal,普通
Normal mode is the game’s intended difficulty setting,普通模式是游戏预设的难度设置
There is only very limited artificial smoothing of certain dice rolls,仅对某些骰子掷出结果进行了非常有限的人工平滑处理
Hard,困难
Hard mode is intended to offer the player a challenge without feeling unfair,困难模式旨在为玩家提供挑战，同时不会让人感觉不公平
Dice rolls are slightly weighted in the opponent's favor making them more deadly,骰子掷出结果略微偏向对手，使其更加致命
#Encounters,#遭遇
Brigands,强盗
You’ve been beset by brigands!,你遭到了强盗的袭击！
Stand and deliver!,站住，留下买路财！
Abandoned Cargo,遗弃货物
There is some abandoned cargo strewn on the road ahead of you,前方的道路上散落着一些遗弃货物
Horrors from the deep,深海恐怖
You're being attacked by enormous fell-crabs!,你正遭到巨大的凶煞螃蟹攻击！
Crawlers,爬行者
Foul creatures swarm from holes in the ground!,污秽的生物从地洞中蜂拥而出！
Devolved,退化者
"More beast than man, devolved troglodytes charge towards you!",“与其说是人，不如说是野兽，退化的穴居人向你冲来！”
Flotsam,漂浮物
You come across some flotsam,你遇到了一些漂浮物
Giant Insects,巨型昆虫
Giant insects scurry towards you!,巨型昆虫向你疾冲而来！
Giant insects swarm you!,巨型昆虫蜂拥向你袭来！
White Hounds,白野狗
Foul slavering beasts barrel towards you!,污秽流涎的野兽向你猛冲过来！
Crabs,螃蟹
You're being swarmed by monsterously over-grown crabs!,你正被异常巨大的螃蟹群包围！
Rot Crabs,腐化螃蟹
Horribly changes crustaceans shamble towards you!,可怕变异的甲壳类生物蹒跚向你走来！
Spider Crabs,蜘蛛蟹
You're being charged by Spider-Crabs!,你正遭到蜘蛛蟹的冲锋！
Fell Hounds,凶煞野狗
You've been beset by prowling Fell-Hounds!,你遭到了潜行的凶煞野狗的袭击！
Fell Hogs,凶煞野猪
Fell hogs have caught your scent!,凶煞野猪嗅到了你的气味！
Rats!,老鼠！
You're being swarmed by monsterously over-grown rats!,你正被异常巨大的老鼠群包围！
Reavers,劫掠者
You've been waylaid by Reavers!,你遭到了劫掠者的伏击！
Reaver Patrol,劫掠者巡逻队
Reaver Raiding-Party,劫掠者突袭队
Giant Lizards,巨型蜥蜴
The lizards' jaws snap greedily as reptilian eyes fix you,蜥蜴的嘴巴贪婪地开合，爬行动物的眼睛紧盯着你
Wandering Merchant,流浪商人
A wandering armorer approaches!,一位流浪护甲匠走了过来！
A wandering arms merchant approaches!,一位流浪武器商人走了过来！
A wandering food merchant approaches!,一位流浪食品商人走了过来！
A wandering potion merchant approaches!,一位流浪药水商人走了过来！
A wandering reagent merchant approaches!,一位流浪药材商人走了过来！
A wandering spell merchant approaches!,一位流浪法术商人走了过来！
A wandering trinket merchant approaches!,一位流浪饰品商人走了过来！
Shades,暗影
"Darker than night, these creatures are pure malice",“比黑夜更黑暗，这些生物纯粹是恶意”
Snakes,蛇
There are snakes in the grass!,草丛里有蛇！
Serpents,巨蛇
Overgrown serpents slither towards you!,过度生长的巨蛇蜿蜒向你爬来！
Slithering Horrors,滑行恐怖
Snow-Lizards,雪蜥蜴
"Large, horned lizards leap from the snow to ambush you!",“巨大的有角蜥蜴从雪中跃出，伏击你！”
Creatures From Beyond,异界生物
The Dragon is awakening!,龙正在苏醒！
Giant Spiders,巨型蜘蛛
Venom drips from snapping jaws as monstrous spiders swarm towards you,毒液从开合的颚中滴落，巨大的蜘蛛蜂拥向你袭来
Enormous Spiders,庞大蜘蛛
Venom drips from snapping jaws as monstrously huge spiders swarm towards you,毒液从开合的颚中滴落，异常庞大的蜘蛛蜂拥向你袭来
The Frozen Dead,冰冻行尸
The restless corpses of those claimed by the frozen wastes shamble towards you,那些被冰冻荒原夺去生命的不安尸体蹒跚向你走来
Avoid,避开
You avoid the encounter,你避开了这次遭遇
#Factions,#势力
Village of Firgol,菲尔戈村
Nautical Guild,航海行会
House Berryn,贝林家族
Iago's Crew,伊阿戈船员
Idran Refugees,伊德拉难民
The Hundred Sons,百子众
Zephyr Crew,西风号船员
The Rat Queen's Court,鼠后宫廷
Oleg the Gray,灰发奥列格
Queen Kala,卡菈女王
The Butcher,屠夫
Reavers of Idra,伊德拉劫掠者
Zephyr Survivors,西风号幸存者
Factions,势力
Unaligned,无阵营
#Map Meta-Data,#地图元数据
Firgol,菲尔戈
Before you lies a small village surrounded by fields and orchards,在你面前是一座被田野和果园环绕的小村庄
The air is laden with the scent of fruit and the laughter of children and the pastoral bliss stands in stark contrast to the rest of the Outer Isles,空气中弥漫着果香和孩童的欢笑声，这片田园的幸福与外岛群的其他地方形成了鲜明对比
The Manor,庄园
The Mines,矿洞
Adler's Helm,鹰盔堡
