original,translate
#Backgrounds,#背景
Acolyte,侍僧
You claim a connection with the divine that goes far deeper than most,你声称自己与神明的联系远比大多数人更为深厚
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic",无论是否正统，你总是随时准备散播神圣智慧；无论是帝国福音还是异端的亵渎妄言
Thug,暴徒
"Punch first, ask questions later",先动手，再问话
You have perfected the noble art of solving problems with brute force,你已精通用蛮力解决问题的崇高艺术
Courtier,朝臣
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,你花在拍贵族马屁上的时间让你成了在帝国世俗法庭残酷政治中游刃有余的大师
Criminal,罪犯
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,你是帝国熙攘地下世界备受尊敬的成员，对于出入不该去的地方有着特殊诀窍
Fortune's Fool,命运弄人者
Deluxe Edition class,豪华版职业
You have unnaturally good luck and seem to find much more gold than others after combat,你拥有超乎寻常的好运，战斗后似乎总能比他人找到更多金币
Savant,学者
You’re a very fast learner and advance more rapidly through levels,你学得极快，等级提升更为迅速
Scout,斥候
You’re remarkably fleet of foot,你脚步异常轻快
Entertainer,艺人
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers",既被帝国富人鄙视又被他们追捧，流浪艺人能凭其耀眼的魅力和灵巧的手指赚得盆满钵满
Guilder,公会成员
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age",和帝国许多年轻有为者一样，你在相当年轻时就被招募进公会服务
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'",俗话说，为显赫的公会效力，往往让你'钱袋有金，双手染血'
Laborer,劳工
You’ve spent years toiling under the oppressive yoke of hard labor,你曾在苦役的重压下劳作多年
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship",虽然这没让你口袋里有多少钱，却赋予了你对困苦的超常抗性
Ex-Legionary,前军团兵
A member of the ‘old breed’; forged and tempered by the hardships of soldiering,‘老家伙’中的一员；经军旅艰辛锻造锤炼
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,如今你属于日益壮大的兄弟姐妹行列，他们身带伤痕、心灵破碎，在帝国游荡，寻找一块安宁的土地称之为家
Sellsword,佣兵
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries",随着帝国昔日强大的军团日渐衰落，这是佣兵与雇佣军的时代
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,不乏有人愿意付钱请专业人士对他人施暴，而你非常擅长你的工作
Monastic,修道者
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,你曾在帝国某个高墙环绕的修道院社区的安全环境中侍奉某个神圣教团
Pray the world has not grown too cruel in your absence,祈祷在你离开期间，世界没有变得过于残酷
Noble,贵族
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses",身为古老血统之人，你很久以前就明白，财富和人脉往往能打开那些对肮脏大众紧闭的门
Sailor,水手
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,你曾听到风暴之母的呼唤，如今海水在你血管中流淌
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea",无论是在公会商船的甲板上，还是操纵着寒酸渔船的风帆，你在海上时最有家的感觉
Street Rat,街头混混
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,在帝国蔓延城市的残酷街头自谋生路的成长岁月，赋予了你超乎寻常的生存本能
No crime is too petty - no meat too mysterious,没有罪行太过卑微——没有肉食太过可疑
Vagabond,流浪者
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place",少年时代大多在路上度过，你是个自由灵魂，不效忠于任何人或地方
"Drifting from place to place, you go where there is work, food and a warm bed to be had",四处漂泊，你去往有活干、有饭吃、有暖床的地方
Wildling,荒野人
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk",随着文明之光黯淡，帝国广袤的荒野正侵蚀着文明之民
Thankfully you don’t count yourself among those,幸好你不把自己算作其中一员
The sky is your temple and the howling of wolves your litany,天空是你的庙宇，狼嚎是你的祷文
Nomad,游牧民
"You’ve spent years across the seas, living with the desert nomads",你曾在海外度过多年，与沙漠游牧民一同生活
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship",虽始终是外人，游牧民认为你足够可信，让你入门他们异教火崇拜的奥秘
Snake-Cultist,蛇教徒
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,在黑暗地窖和隐秘庙宇中与蛇共舞，让你对蛇吻免疫
#NPC Backgrounds,#他人背景
Citizen,市民
Craftsman,工匠
Farmer,农夫
Fisherman,渔夫
Guild Sailor,公会水手
Insane,癫狂
Official,官员
Refugee,难民
Servant,仆人
Vagrant,流浪者
Shipwrecked,海难幸存者
