original,translate
#Credits,制作人员
"For Sofie, Amalie and Kathrine",献给 Sofie、Amalie 和 Kathrine
WRITTEN AND DEVELOPED BY,编剧与开发
PUBLISHED BY,发行
Raw Fury,Raw Fury
WITH FINANCIAL SUPPORT FROM,资金支持
Innovation Norway,挪威创新署
Norwegian Film Institute,挪威电影协会
PRODUCED BY,制作
ART,美术
KEY ART,主视觉设计
MUSIC,音乐
SOUND FX,音效
ADDITIONAL WRITING,额外编剧
ADDITIONAL CODIING,额外编程
A special thanks to NAIVE,特别感谢 NAIVE
for their work on,感谢他们为
the Skald Trailer,Skald 预告片所做的工作
A special thanks to ARTISTRY,特别感谢 ARTISTRY
the Launch Trailer,发布预告片
CROWDFUNDERS,众筹支持者
DARK LORD TIER,黑暗领主等级
DEITY TIER,神祇等级
IMPERATOR TIER,皇帝等级
HIGH WIZARD TIER,大巫师等级
LORD OF THE REALM TIER,领域领主等级
KNIGHT TIER,骑士等级
FREEMAN TIER,自由民等级
RAW FURY,RAW FURY
Special Thanks,特别感谢
Daniel Jonsson,Daniel Jonsson
Alexandre Billaud,Alexandre Billaud
KM Troedsson,KM Troedsson
Special Mention,特别提及
QLOC S.A,QLOC S.A.
General Manager,总经理
Head of Business Development,业务发展主管
Senior Business Development Manager,高级业务发展经理
Director of Quality Assurance,质量保证总监
QA Operations Manager,QA 运营经理
Lead QA Project Manager,首席 QA 项目经理
QA Lab Managers,QA 实验室经理
Piotr Badurek,Piotr Badurek
Emil Lubowicki,Emil Lubowicki
Gabriela Malinowska,Gabriela Malinowska
Tomasz Prusicki,Tomasz Prusicki
Learning & Development Manager,学习与发展经理
Learning & Development Coordinator,学习与发展协调员
Learning & Development Specialists,学习与发展专员
QA Team Leader,QA 团队负责人
Marcin Oprzadek,Marcin Oprzadek
QA Testers,QA 测试员
Patryk Osowiecki,Patryk Osowiecki
Dawid Salamadry,Dawid Salamadry
Bosong Zhou,Bosong Zhou
IT Director,IT 总监
Artur Szczurzynski,Artur Szczurzynski
#Unknown,#Unknown
Core 1.0.7e,核心 1.0.7e
Continue Game,继续游戏
New Game,新游戏
Load,加载
Save,保存
Start Module,启动模块
Settings,设置
Credits,制作人员
Quit,退出
Exit,退出
Reset,重置
Gameplay,玩法
Difficulty,难度
Display,显示
Audio,音频
Controls,控制
Fonts,字体
Enter Map Auto Save,进入地图自动保存
Rest Auto Save,休息时自动保存
Tactical Icons Always On,战术图标常显
Tactical Grid,战术网格
Show Stealth Info,显示潜行信息
Combat Pop-Up Length,战斗提示时长
Tutorials,教程
Controller Sensitivity,控制器灵敏度
Language,语言
Enabled,启用
Disabled,禁用
DISABLED,禁用
ENABLED,启用
Normal,普通
Extensive,广泛
DELUXE,豪华版
Nostalgia Mode,怀旧模式
Dice Animation,骰子动画
White - Pips,白色 - 小标
Russian,俄语
Gameplay Settings,玩法设置
ENTER MAP AUTO SAVE,进入地图自动保存
The game will auto save whenever you enter a new map,游戏将在你进入新地图时自动保存
REST AUTO SAVE,休息时自动保存
The game will auto save whenever you make camp,游戏将在你扎营时自动保存
TACTICAL ICONS ALWAYS ON,战术图标常显
The degree to which the game shows tactical symbols and a grid during combat,游戏在战斗中显示战术符号和网格的程度
"If set to true, the game will automatically show tactical icons during the planning state",如果设为真，游戏将在计划阶段自动显示战术图标
"If set to false, the tactical icons will only show when holding down SHIFT",如果设为假，战术图标只会在按住SHIFT键时显示
TACTICAL GRID,战术网格
Whether or not the game shows a grid along with the tactical icons when activated during combat,游戏在战斗中激活战术图标时是否同时显示网格
SHOW STEALTH INFO,显示潜行信息
Setting this to Enabled will show a tooltip box containing info on light levels and stealth modifiers for tiles when you right click them,设为启用后右键点击地块时会显示包含光照等级和潜行修正信息的提示框
COMBAT POP-UP LENGTH,战斗提示时长
This adjusts how long the on-screen combat pop-up text lingers,此选项调整屏幕上的战斗弹出文本停留多久
"Note that a turn does not progress until all the character�s pop-up text is gone, so adjusting this number will also adjust how quickly combat turns pass",注意，直到所有角色的弹出文本消失后回合才会推进，因此调整此数值也会调整战斗回合的推进速度
TUTORIALS,教程
The degree to which you want the game to offer gameplay tutorials during play,你希望游戏在游玩过程中提供玩法教程的程度
CONTROLLER SENSITIVITY,控制器灵敏度
The sensitivity of the joystick used for moving the cursor when using a controller,使用控制器时用于移动光标的摇杆灵敏度
LANGUAGE,语言
Select the display language for the game,选择游戏的显示语言
English,英语
None,无
Some,一些
Slow,慢
Very Slow,非常慢
Fast,快
Attribute Rerolls,属性重掷
Player Rerolls,玩家重掷
P. Dmg. Rerolls,玩家伤害重掷
Enemy Rerolls,敌人重掷
E. Dmg. Rerolls,敌人伤害重掷
Miss Smoothening,失手平滑
Combat Heal,战斗治疗
No Encumb,无负重
Cannot Die,不会死亡
XP For KO Char,击倒角色经验值
Easy,简单
Difficulty Settings,难度设置
DIFFICULTY,难度
The current difficulty of the game,游戏的当前难度
Easy mode is a great way for players who are new to this style of roleplaying game to experience Skald,简单模式是让不熟悉此类角色扮演游戏的玩家体验Skald的绝佳方式
Combat is forgiving and there should be little need to optimize character builds,战斗较为宽容，几乎不需要优化角色构建
Dice rolls are weighted in the player’s favor,骰子掷骰结果偏向玩家
Normal mode is the game’s intended difficulty setting,普通模式是游戏预期的难度设置
There is only very limited artificial smoothing of certain dice rolls,仅对某些骰子掷骰进行非常有限的人工平滑
Dice rolls are slightly weighted in the opponent's favor making them more deadly,骰子掷骰结果略微偏向对手，使其更加致命
CUSTOM,自定义
Custom difficulty,自定义难度
Narrative,叙事
Narrative mode is the difficulty for players who would like to experience the game’s story and setting with a minimum of focus on combat and grinding,叙事模式是为希望以最少战斗和刷怪体验游戏故事与设定的玩家准备的难度
ATTRIBUTE REROLLS,属性重掷
"If this number is greater than zero, the system will reroll any of the player's Attribute Check (Skill Checks for instance) dice rolls that many times and pick the most favorable one to the player",如果此数值大于零，系统将对玩家的任何属性检定（例如技能检定）骰子掷骰重掷该次数，并选取对玩家最有利的结果
PLAYER REROLLS,玩家重掷
