original,translate
#AdlersHelmBossScene,#鹰盔堡Boss场景
Thank you for all your help so far,感谢你迄今为止的所有帮助
Be sure to talk to Doron and Arra before you go,在你离开前一定要和多隆和阿拉谈谈
I’m sure they’ll help you in any way they can,我相信他们会尽他们所能帮助你
It all began when we found the stairs leading up to the plateau in the mines,这一切始于我们在矿洞里发现了通往高原的楼梯
Stairs like you’ve never seen before; Cut right into the mountain itself and going straight up,你从未见过的楼梯；直接凿入山体笔直向上
Stairs you say?,你说楼梯？
We climbed them and found they made it possible to reach the plateau above us,我们爬了上去发现它们能让我们到达上方的高原
"If I were to guess, I’d say we were the first to set foot up there for hundreds, or even thousands of years!",“如果我猜的话，我会说我们是数百甚至数千年来第一批踏上那里的人！”
And that’s saying something about the age of the stairs,这足以说明那些楼梯的年代了
What happened then?,然后发生了什么？
I dispatched a small party up onto the plateau to look around a bit but we’re not really equipped for exploration,我派了一支小队上到高原去稍微探查一下但我们并不真正具备探索的条件
So we did what the company would expect,所以我们做了商会期望的事
Send a report to the mainland and return to normal operations,向大陆发送报告然后恢复正常作业
So you found something up on the plateau?,所以你们在高原上发现了什么？
Aye we did,是的我们发现了
The team reported seeing buildings up there in the ice,小队报告说在冰层中看到了建筑
Old but Imperial from what they could tell,据他们判断虽然古老但是帝国风格的
Which is strange because the company has as good maps as any of Gradla and nowhere are there records of Imperial structures,这很奇怪因为商会拥有和任何人一样好的格拉德拉地图但没有任何关于帝国建筑的记录
Least of all up on that Magi-forsaken plateau!,更不用说在那个被法师遗弃的高原上了！
And did the company respond to the reports?,商会回应了报告吗？
That’s the strange part,这就是奇怪的地方
The response came almost immediately - Almost as if the company was expecting the find or something,回复几乎立刻就来了——几乎就像是商会预料到了这个发现似的
We were to make ready to receive an expedition that was to explore the plateau,我们要做好准备迎接一支来探索高原的考察队
"Until then, we were told to keep quiet about the find and stay away from the plateau",“在那之前我们被告知要对发现保密并远离高原”
They even closed down mining operations!,他们甚至关闭了采矿作业！
I’ve never heard of anything remotely similar happening before,我以前从未听说过任何类似的事情发生
So what happened?,那么发生了什么？
Expedition arrived by ship in no time and set off the next day up onto the plateau,考察队很快就乘船抵达第二天就出发前往高原
That’s the last we saw of them,那是我们最后一次见到他们
"Whatever they found up there, I know in my bones it’s what caused the madness that’s been gripping Adler’s Helm",“无论他们在上面发现了什么我骨子里知道那就是导致鹰盔堡陷入疯狂的原因”
Embla shoots you a knowing glance,恩布拉向你投来会意的一瞥
We need to get going,我们得出发了
You… you did it?,你……你做到了？
"Your eyes, there’s something about them",“你的眼睛有些不一样”
I’d say you’ve seen things no man or woman should ever have to!,要我说你见识了任何男女都不该见识的东西！
"I don’t want to know what you faced down there in the dark, but tell me this",“我不想知道你在那黑暗中面对了什么但告诉我这个”
What of my crew?,我的队员们怎么样了？
Are they gone?,他们都不在了吗？
There's no one else coming out of those mines alive,没有其他人能活着走出那些矿洞了
Lorn trembles and his eyes water up,洛恩颤抖着眼中涌出泪水
"The man has lived through horrors untold, hiding for days and days like an animal to stay alive",“这个人经历了难以言说的恐怖像动物一样躲藏了一天又一天才活下来”
You feel bad you weren’t at least able to bring him better news,你为自己至少没能给他带来更好的消息而感到难过
They were good men and women,他们是好男好女
The Golden Dead will protect them now,黄金先祖现在会保佑他们
I want to know what happened here!,我想知道这里发生了什么！
Something about Plateau,关于高原的一些事
More about Plateau,更多关于高原的事
Finally the last part about Plateau,最后关于高原的部分
