original,translate
#Cleric Feats,#牧师专长
Medium Armor Expert,中型护甲专家
Heavy Armor Expert,重型护甲专家
Body Magic Initiate,肢体法术学徒
You may now cast Tier 1 spells of the Body School,你现在可以施展肢体法术学派的1级法术
Body Magic Expert,肢体法术专家
You may now cast Tier 2 spells of the Body School,你现在可以施展肢体法术学派的2级法术
Body Magic Master,肢体法术大师
You may now cast Tier 3 spells of the Body School,你现在可以施展肢体法术学派的3级法术
Body Magic Grand Master,肢体法术宗师
You may now cast Tier 4 spells of the Body School,你现在可以施展肢体法术学派的4级法术
Mind Magic Initiate,心智法术学徒
You may now cast Tier 1 spells of the Mind School,你现在可以施展心智法术学派的1级法术
Mind Magic Expert,心智法术专家
You may now cast Tier 2 spells of the Mind School,你现在可以施展心智法术学派的2级法术
Mind Magic Master,心智法术大师
You may now cast Tier 3 spells of the Mind School,你现在可以施展心智法术学派的3级法术
Mind Magic Grand Master,心智法术宗师
You may now cast Tier 4 spells of the Mind School,你现在可以施展心智法术学派的4级法术
Religious Training,信仰修习
Resilience Initiate,韧性学徒
Resilience Expert,韧性专家
Divine Spellcasting,神圣施法
"You gain the ability to learn spells from the Mind, Body and Spirit School",你获得学习心智、肢体和灵魂法术学派法术的能力
Spirit Magic Initiate,灵魂法术学徒
You may now cast Tier 1 spells of the Spirit School,你现在可以施展灵魂法术学派的1级法术
Spirit Magic Expert,灵魂法术专家
You may now cast Tier 2 spells of the Spirit School,你现在可以施展灵魂法术学派的2级法术
Spirit Magic Master,灵魂法术大师
You may now cast Tier 3 spells of the Spirit School,你现在可以施展灵魂法术学派的3级法术
Spirit Magic Grand Master,灵魂法术宗师
You may now cast Tier 4 spells of the Spirit School,你现在可以施展灵魂法术学派的4级法术
Faithful Initiate,虔诚学徒
Faithful Expert,虔诚专家
Faithful Master,虔诚大师
Faithful Grand Master,虔诚宗师
Cleric Weapons Initate,牧师武器学徒
Cleric Weapons Expert,牧师武器专家
Cleric Weapons Master,牧师武器大师
Cleric Weapons Grand Master,牧师武器宗师
#Magos Feats,#法师专长
Air Magic Initiate,空气法术学徒
Air Magic Expert,空气法术专家
Air Magic Master,空气法术大师
Air Magic Grand Master,空气法术宗师
Trickster Initiate,诡术学徒
Trickster Expert,诡术专家
Trickster Master,诡术大师
Arcane Font Initiate,奥术源泉学徒
Arcane Font Expert,奥术源泉专家
Arcane Font Master,奥术源泉大师
Arcane Spellcasting,奥术施法
Sorcerous Initiate,术法学徒
Sorcerous Expert,术法专家
Sorcerous Master,术法大师
Blade Initiate,刀剑学徒
Earth Magic Initiate,大地法术学徒
Earth Magic Expert,大地法术专家
Earth Magic Master,大地法术大师
Earth Magic Grand Master,大地法术宗师
Fire Magic Initiate,火焰法术学徒
Fire Magic Expert,火焰法术专家
Fire Magic Master,火焰法术大师
Fire Magic Grand Master,火焰法术宗师
Light Weapons Initiate,轻型武器学徒
Light Weapons Expert,轻型武器专家
Touched by the Reticulum,魔网之触
Ranged Weapons Initiate,远程武器学徒
#NPC Feats,#他人专长
Warrior,战士
#Rogue Feats,#游荡者专长
Bardic Magic Initiate,吟游法术学徒
Bardic Magic Expert,吟游法术专家
Bardic Magic Master,吟游法术大师
Bardic Spellcasting,吟游施法
Backstab Initiate,背刺学徒
Backstab Expert,背刺专家
Backstab Master,背刺大师
Backstab Grand Master,背刺宗师
Bard Initiate,吟游学徒
Bard Expert,吟游专家
Bard Master,吟游大师
Tradecraft,贸易技巧
Duelist Initiate,决斗学徒
Duelist Expert,决斗专家
